---- START at 2025-08-18 09:57:06, Target=1779/1779 ----
[66/1779] acs.chemmater.6b02817_cm6b02817_si_004_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=9028.5s, Completed=112/1779, ETA=2025-08-20 22:39:55
[128/1779] UMODEH22_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1514.5s, Completed=113/1779, ETA=2025-08-20 22:23:40
[121/1779] QAWPIO_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2026.5s, Completed=114/1779, ETA=2025-08-20 21:55:19
[137/1779] GAWMOJ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=820.7s, Completed=115/1779, ETA=2025-08-20 21:47:34
[127/1779] XALCUJ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1712.0s, Completed=116/1779, ETA=2025-08-20 21:31:28
[130/1779] NAYMOQ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1657.0s, Completed=117/1779, ETA=2025-08-20 21:10:40
[135/1779] REXFIL_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1128.9s, Completed=118/1779, ETA=2025-08-20 21:10:20
[134/1779] XAPGUQ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1483.2s, Completed=119/1779, ETA=2025-08-20 21:15:38
[77/1779] UXINAR_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=8029.9s, Completed=120/1779, ETA=2025-08-20 20:49:33
[124/1779] LACQIS_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2192.4s, Completed=121/1779, ETA=2025-08-20 20:46:14
[132/1779] RAYMOV_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1912.1s, Completed=122/1779, ETA=2025-08-20 20:39:58
[118/1779] MUTDEM_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3117.3s, Completed=123/1779, ETA=2025-08-20 20:17:32
[143/1779] TIVYAZ01_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=910.8s, Completed=124/1779, ETA=2025-08-20 20:39:44
[142/1779] CIJVOH_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1361.2s, Completed=125/1779, ETA=2025-08-20 21:43:56
[110/1779] VUQJUN01_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4852.6s, Completed=126/1779, ETA=2025-08-20 21:36:43
[80/1779] DEPSEW_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=8749.9s, Completed=127/1779, ETA=2025-08-20 21:19:08
[115/1779] EGABAR_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4411.0s, Completed=128/1779, ETA=2025-08-20 21:18:06
[146/1779] WEMCOI_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1427.5s, Completed=129/1779, ETA=2025-08-20 20:59:21
[116/1779] LUMLIQ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4810.8s, Completed=130/1779, ETA=2025-08-20 21:57:11
[136/1779] IKAYAU_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2710.2s, Completed=131/1779, ETA=2025-08-20 21:30:19
