GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_MEAN_HIGH_5,R2_MEAN_HIGH_15,R2_STD_HIGH_1,R2_STD_HIGH_5,R2_STD_HIGH_15,MAE_MEAN_HIGH_1,MAE_MEAN_HIGH_5,MAE_MEAN_HIGH_15,MAE_STD_HIGH_1,MAE_STD_HIGH_5,MAE_STD_HIGH_15,INPUT_HIGH_1,INPUT_HIGH_5,INPUT_HIGH_15
Ar,293,rf,random_struct,0.01,0.9447414568213912,0.9533130926654032,0.9612996266134392,0.0192246529778427,0.0049649539443952,0.001823656472997,0.0184955156475061,0.080772756915381,0.1787839623301813,0.0012312357842143,0.0019705814139924,0.0017462556422955,struct+input,struct+input,struct+input
Ar,293,rf,random_struct,0.05,0.9549073663462408,0.9552424393158412,0.9623514026539184,0.0170035525805615,0.0047443997723787,0.0016213321771437,0.016160712957502,0.0769559174627915,0.1747056616194072,0.0011215127683226,0.0018730064092584,0.0022084244762587,struct+input,struct+input,struct+input
Ar,293,rf,random_struct,0.1,0.9629200833707476,0.9579961253376276,0.9632811131749252,0.0150791752410809,0.0047497579357527,0.0017841033372052,0.015023604559961,0.0750757990449492,0.1724550750700239,0.0009128227418937,0.002077958356579,0.0021442550415446,struct+input,struct+input,struct+input
Ar,293,rf,random_struct,0.5,0.9812674223661392,0.9714687427661156,0.9682390582118736,0.0154001062604863,0.0043660086637932,0.0023835946732845,0.009517325061599,0.0659862895448189,0.1636475741083741,0.0010302030337301,0.0017914310940204,0.0024050120155967,struct+input,struct+input,struct+input
Ar,313,cat,random_struct,0.01,0.965216851613426,0.9389745267644842,0.95633485010663,0.0238583252965095,0.0162810707126616,0.0052497207082634,0.0112658643932634,0.0625309039261687,0.1451328684263903,0.0011866218479042,0.0029599499263536,0.0025276700929423,struct+input,struct+input,struct+input
Ar,313,cat,random_struct,0.05,0.966516277235736,0.9416607348130578,0.9585421009097214,0.0227840011349366,0.014960026853611,0.0048261636368276,0.0093725655826996,0.0583329365078559,0.137821204439172,0.0011806248792584,0.0028457558670684,0.0015664334246877,struct+input,struct+input,struct+input
Ar,313,cat,random_struct,0.1,0.9692124563645008,0.9422633785565636,0.9593581189294706,0.023962810463406,0.0168422881826385,0.0048920584968449,0.0088464170691867,0.0570187252027588,0.1363700827982296,0.001226093522491,0.0030125604306326,0.0020805901482734,struct+input,struct+input,struct+input
Ar,313,cat,random_struct,0.5,0.9816415124786744,0.9484961551945028,0.962850052726274,0.0255738707846693,0.0156965601871706,0.0042370379655794,0.0066493583331563,0.0526869670584187,0.1307088589563938,0.001146869152727,0.0029766454722723,0.0023118507960249,struct+input,struct+input,struct+input
Ar,313,gbm,random_struct,0.01,0.9697347630885468,0.9316471753603291,0.9530327951463424,0.0217773671554401,0.0143549000388056,0.0031503012932439,0.010505405127366,0.0640970586915281,0.1501104751075217,0.0013714759284322,0.002632899978278,0.0036977116923604,struct+input,struct+input,struct+input
Ar,313,gbm,random_struct,0.05,0.971188665670779,0.9340346247017018,0.9557818510016494,0.0219248611754788,0.0154336810253103,0.0032035801641873,0.0085598417465449,0.0599112329997818,0.1428454002761008,0.0013869373899308,0.0036462081640324,0.0025168020901529,struct+input,struct+input,struct+input
