---- START at 2025-08-16 12:11:23, Target=2039/2039 ----
[122/2039] FUWQIZ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=229.2s, Completed=120/2039, ETA=2025-08-16 18:41:24
[130/2039] MODJOG_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=174.0s, Completed=121/2039, ETA=2025-08-16 18:40:07
[133/2039] ZISFEO_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=159.3s, Completed=122/2039, ETA=2025-08-16 18:42:41
[125/2039] KABXIW_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=241.7s, Completed=123/2039, ETA=2025-08-16 18:41:09
[120/2039] BOWRAH_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=292.4s, Completed=124/2039, ETA=2025-08-16 18:41:43
[118/2039] MOYYEF_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=323.5s, Completed=125/2039, ETA=2025-08-16 18:39:40
[124/2039] AVITUU_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=271.0s, Completed=126/2039, ETA=2025-08-16 18:38:00
[132/2039] CACBUG_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=201.8s, Completed=127/2039, ETA=2025-08-16 18:36:48
[134/2039] TUTZUD_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=191.4s, Completed=128/2039, ETA=2025-08-16 18:35:37
[137/2039] DITXOU_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=166.8s, Completed=129/2039, ETA=2025-08-16 18:33:33
[131/2039] UZAFIL_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=218.5s, Completed=130/2039, ETA=2025-08-16 18:31:10
[138/2039] BOCTOE02_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=173.6s, Completed=131/2039, ETA=2025-08-16 18:30:04
[127/2039] JENKIX_SL_helium_313.0K_5.0bar_14.0 Done. TimeForThis=273.8s, Completed=132/2039, ETA=2025-08-16 18:28:06
[136/2039] WAMRIN_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=202.2s, Completed=133/2039, ETA=2025-08-16 18:25:55
[117/2039] HOXSUK_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=368.4s, Completed=134/2039, ETA=2025-08-16 18:24:03
[129/2039] MUVMOG_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=271.5s, Completed=135/2039, ETA=2025-08-16 18:23:10
[141/2039] DUBBEI_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=163.3s, Completed=136/2039, ETA=2025-08-16 18:23:18
