MOF,Total time (s)
BUQWER_clean,1608.2
BURJOO_clean,467.3
BURQIQ_clean,3861.5
BUSNAF_clean,566.6
BUSQEM_clean,1073.9
BUSQIQ_clean,1599.9
BUSRUE_clean,1436.0
BUVHEH_clean,843.4
BUVVIZ_clean,777.0
BUVVOF_clean,716.2
BUVWOF02_clean,842.1
BUVWOF03_clean,535.6
BUVXOG_clean,849.6
BUVYEX_clean,517.3
BUVYIB01_clean,964.3
BUVYIB_clean,947.9
BUWLUC_clean,851.4
BUWMAJ_clean,815.2
BUWMEN_clean,570.1
BUWMIR_clean,535.0
BUXNOZ_clean,2480.3
BUXTOF_clean,4858.5
BUXTUL_clean,5321.1
BUXZAX_clean,540.0
CABJOH_clean,914.4
CACBUG_clean,394.0
CACNOM_clean,2024.0
CADPII_clean,432.0
CADQAB_clean,730.4
CADQOP_clean,649.2
CADZIT_clean,1449.2
CAGSAG_clean,1526.0
CAGXIU_clean,924.3
CAJQEL_clean,648.9
CAJQIP_clean,379.8
CAJWIV_ion_b,1173.1
CANRIU_clean,1615.9
CANROA_clean,1521.9
CANRUG_clean,3942.6
CANYIB_clean,2072.9
CAPLOX_clean,898.2
CAQCAZ_clean,1824.3
CARGEI_clean,226.5
CASTEW_clean,1832.5
CASWIE_clean,990.6
CAVMIX_clean,3406.3
CAVMOD_clean,1048.4
CAVNOE_clean,775.1
CAVPEW_manual,4368.8
CAVPIA_manual,4229.7
CAVPUM_manual,4516.4
CAVRAU_clean,2136.0
CAVREY_clean,2246.9
CAVSUP_clean,495.8
CAVVUS_clean,873.0
CAWDOU02_clean,964.9
CAWVIH_SL,1408.0
CAXSUR_SL,887.0
CAXTAY_clean,697.7
CAXTEC_clean,1141.6
CAXVII_clean,784.6
CAXVOO_clean,773.7
CAXVUU_clean,761.9
CAXWAB_clean,774.1
CAXWEF_clean,784.6
CAXWIJ_clean,788.1
CAXXEG_clean,2401.8
CAXZOS_clean,10140.1
CAXZUY_clean,3999.7
CAYCAI_clean,363.8
CAYDEN_clean,449.9
CAYDIR_clean,461.3
CAYDUD_clean,446.4
CAYKEU_clean,1386.8
CAYMIZ_clean,970.8
CAYQAV_clean,1553.0
CAYQIE_clean,1183.6
CAYQOK_clean,4146.1
CAYQUQ_clean,1682.3
CAYSIE_clean,564.4
CAYSOK_clean,394.9
CAYYEG_clean,550.8
CAZGIT_clean,1675.7
CAZNEY_clean,1007.4
CEBDOD_clean,831.9
CECVAI_clean,2418.4
CEDFIC_clean,1291.3
CEDFOI_clean,5165.4
CEDFUO_clean,2842.9
CEGDUO_clean,737.0
CEGFAW_clean,923.0
CEGWER_clean,823.7
CEHLAD_clean,2173.6
CEJBEA_clean,575.2
CEJCAW_clean,613.3
CEJZAU_clean,2395.1
CEKHIL_clean,470.0
CEKNIQ_clean,1040.3
CEKROB_clean,629.4
CELZEA_clean,708.1
CEMKOV_clean,1159.4
CEMYUQ_clean,791.5
CENJIQ_clean,535.2
CENKAJ_clean,519.1
CENPUI_clean,2405.0
CESFIQ_clean,2555.3
CESFOW_clean,1247.0
CETFOX_clean,442.9
CETFUD_clean,935.0
CETGOY_clean,1628.5
CETHEQ_clean,344.4
CETJAN_clean_h,2157.7
CETNUL_clean,2088.8
CEXHET_clean,1018.2
CEXHOD_clean,2663.0
CEXJOF_clean,11583.5
CEYPUT01_clean,1248.0
CEYPUT_clean,1226.0
CEYYIQ_clean,795.2
CEZFIY_clean,2126.5
CIDKUX_clean,572.0
CIFDOM_clean,1509.4
CIFDUS_clean,1481.4
CIFJAE_clean,824.8
CIFLUA_clean,2727.0
CIFMAH_clean,2308.5
CIFMEL_clean,161.2
CIFMIP_clean,1184.4
CIGDUT_clean,1191.1
CIGFAB_clean,1083.3
CIGFEF_clean,743.5
CIGXIA_manual,9247.7
CIJVOH01_clean,573.0
CIJVOH_clean,547.5
CIPCUB_clean,1694.6
CIPLIX_clean,977.3
CIQQIE_clean,4136.8
CIRTUU_clean,1477.6
CISLUN_clean,692.3
CISXEJ_clean,2147.9
CITZIP_manual,744.2
CIVTEH_clean,1538.2
CIWREG_clean,3780.2
CIWRIK_clean,3700.2
CIWROQ_clean,3949.7
CIWRUW_clean,3727.4
CIWSAD_clean,3812.7
CIWYUD_clean,735.7
CIWZEP_clean,1891.7
CIWZIT_clean,1917.1
CIXBUH_clean,3659.5
CIXCAO_clean,3912.8
CIYZUG_clean,394.5
CIZMIJ_clean,846.4
CIZPOS_clean,1810.7
COBWEV_clean,290.5
COCMAJ_clean,3016.2
COCMOY_clean,1039.2
COCMUE_clean,1923.7
COCNAL_clean,1166.0
COCNEP_clean,1924.0
CODFEH_clean,428.9
CODMUF_clean,1189.6
CODNAM_clean,1140.0
CODROD_clean,1564.4
CODRUJ_clean,1529.0
CODSUL_clean,1389.6
CODVAU_clean,5227.1
COGNAO_clean,7770.1
COJGEO_clean,1367.5
COJHIT_clean,1134.8
COJMIZ_clean,3453.4
COJMOF02_clean,1997.3
COKFAK_clean,1021.9
COKMEW_clean,3058.8
COKMIA_clean,2572.1
COKMOG_clean,2412.5
COKMUM_clean,1602.1
COKNAT_clean,3082.0
COKPEZ_clean,3024.2
COKPID_clean,3037.8
COKPOJ_clean,2709.4
COKPUP_clean,3293.0
COKQAW_clean,1968.1
COKQEA_clean,2641.8
COKQIE_clean,3143.5
COKQOK_clean,3199.4
COKROL_clean,2054.5
COKRUR_clean,9602.0
COMDOY_clean,1415.7
COPXOV_clean,1855.4
COQGAS_clean,1212.0
COQHUN_clean,1652.5
COQJID_clean,2224.4
COQJOJ_clean,1897.9
COQJUP_clean,2072.3
COQLAX_clean,4748.9
COQNIF_clean,2449.7
COQTEJ_clean,766.9
CORZIU_clean,1745.3
COSMII_clean,724.1
COTVOY_clean,843.2
COTVUE_clean,847.3
COTXEQ_clean,1375.1
COTXIU_clean,1346.6
