MOF,HENRY_AR_313_CORE,time_below_50_313_0.01,time_below_50_313_0.05,time_below_50_313_0.1,time_below_50_313_0.5,time_below_50_313_1,5bar_AR_313_CORE,15bar_AR_313_CORE
APAYUN_clean,206.6,73.9,121.8,162.1,223.4,223.8,444.7,1049.0
APAZAU_clean,267.6,98.6,163.8,216.3,280.1,285.4,675.9,1691.3
APAZEY_clean,266.1,102.0,162.9,217.1,282.3,286.2,661.8,1682.6
APAZIC_clean,268.5,96.5,158.3,203.7,287.2,285.2,616.5,1644.3
APAZOI_clean,276.1,110.2,203.2,259.9,310.9,314.8,938.6,2274.7
APEBED_clean,196.7,69.8,126.2,165.5,209.4,210.9,405.0,686.7
APEBEE_clean,260.0,99.0,171.8,224.3,296.8,298.0,619.7,1245.9
APEBII_clean,384.0,250.3,370.2,374.1,434.1,642.5,1826.3,3574.3
APEBOO_clean,466.6,341.4,399.5,408.6,851.2,1379.6,3950.0,7106.7
APEBUU_clean,426.1,145.1,215.9,282.1,435.4,440.5,564.8,1273.6
APUPEH_clean,86.6,26.2,29.2,33.8,53.6,66.1,81.0,93.5
AQEGUY_clean,267.7,106.0,191.4,248.6,305.5,302.1,724.1,1475.6
AQEQES_clean,152.4,52.9,84.7,117.7,171.6,174.3,288.0,715.3
AQEQIW_clean,156.8,53.7,90.1,120.2,170.3,179.8,341.5,816.5
AQERUL_clean,1241.2,1020.1,1119.7,1213.3,4237.5,6061.0,11913.0,14935.0
AQIQAU_clean,450.8,173.9,307.1,407.8,503.4,508.1,1561.3,4274.9
AQIXUU_clean,313.6,132.6,247.3,322.7,368.3,364.2,808.2,1132.7
AQIXUV_clean,476.4,150.6,208.2,267.9,463.4,500.6,556.4,1391.5
AQOLEZ_clean,217.0,78.0,127.5,165.4,241.3,245.9,427.4,1154.3
AQOLID_clean,1753.8,566.2,762.9,969.9,1148.4,1153.0,2365.0,5570.0
AQOLOJ_clean,248.2,114.9,210.7,252.1,283.8,295.9,1068.1,2353.7
AQOLUP_clean,1258.1,411.1,533.3,622.4,800.8,808.9,1425.1,3750.3
AQOMAW_clean,254.0,90.6,153.7,201.6,275.1,275.0,593.7,1503.9
AQOMEA01_clean,1503.0,402.6,548.9,666.4,805.6,813.3,1391.9,3541.6
AQOMEA_clean,1388.8,411.4,525.8,642.1,821.2,813.2,1390.2,3662.4
AQOTIK_clean,135.3,43.3,77.0,102.2,137.1,143.3,312.2,726.8
AQUCOF_clean,255.9,86.6,132.7,173.1,290.2,294.2,404.7,1196.6
AQUCOG_clean,295.9,110.7,191.5,252.3,343.3,346.6,867.7,2559.6
AQUCUM_clean,298.8,112.7,195.4,254.2,343.3,344.4,884.3,2618.9
AQUDAS_clean,256.1,86.7,130.8,174.5,286.1,290.0,407.4,1162.1
AQUDAT_clean,286.4,92.9,134.2,178.3,309.4,322.2,344.4,626.8
AQUDEX_clean,290.9,93.2,137.7,182.7,305.2,323.5,354.1,629.3
AQUDIB_clean,301.7,111.9,191.8,251.7,341.3,349.4,856.4,2549.8
AQUDOH_clean,290.2,92.4,135.8,179.7,305.7,331.3,348.0,620.8
