MOF,Total time (s)
LACYUM_clean,231.8
LACZAT_clean,187.8
LACZIB_clean,61.4
LAGVEX_clean,106.5
LAGWIB_clean,65.0
LAJFAG_clean,575.1
LAJKUE_charged,730.3
LAJLAL_charged,668.4
LAJLEP_charged,764.4
LAPLEW_clean,482.9
LAPLOG01_clean,493.5
LAPLOG_clean,505.8
LAPLUM_clean,574.5
LAPMAT_clean,553.0
LAPMEX_clean,648.0
LAPMIB_clean,503.1
LAPMOH_clean,512.9
LAPMUN_clean,603.7
LAPNAU_clean,513.9
LAPNEY_clean,498.1
LAPNIC_clean,474.8
LAPNOI_clean,529.5
LAPNUO_clean,491.1
LAPZEK_clean,169.4
LAQNOJ_clean,165.9
LAQNUP_clean,174.5
LATBUG_clean,169.0
LATCAN_clean,172.6
LATCIS_clean,32.5
LAVMAY_clean,134.1
LAWGOI_clean,138.1
LAWGUO_clean,144.8
LAWHEZ01_clean,132.2
LAWHEZ_clean,131.2
LAWHID_clean,131.9
LAXCUK_clean,138.2
LAZXIV_clean,141.5
LEJCEK_clean,65.5
LEJZOQ_clean,324.1
LELDOX_clean,829.6
LENGES_clean,607.0
LEQBUG_clean,155.9
LEQCAN_clean,153.3
LETREJ_clean,479.6
LEWZET_clean,89.0
LEZJOQ_clean,167.5
LEZJUW_clean,571.5
LIDSAU_clean,191.0
LIDSEY01_clean,386.6
LIDSEY_clean,184.2
LIDSIC_clean,236.2
LIFWEE_clean,61.2
LIHKAQ_clean,236.3
LIKCOY_charged,71.6
LIQTUC_clean,296.6
LIRTUC_clean,234.8
LIXXEW_clean,241.7
LOCRUR_clean,76.4
LODCUC_clean,166.8
LODTAB_clean,104.7
LOFJAT_clean,114.8
LORNEL_clean,46.1
LOSYAV_clean,138.7
LOXVUR_clean,437.9
LOZSOK_clean,336.7
LOZSUQ_clean,348.0
LUDKIG_clean,282.6
LUDTUZ_clean,130.7
LUDVAH_clean,184.8
LUDVEL_clean,100.8
LUDVOV_clean,104.1
LUKLIN_clean,160.6
LURRIA_clean,92.2
LURRUM_clean,364.0
LUSQOH_clean,805.8
LUTZEH_clean,752.4
LUWMUN_clean,86.7
LUWNAU_clean,85.2
LUXFEQ_charged,438.3
LUYBIS_clean,241.0
MAFFUW_clean,389.5
MAJJUF_clean,59.2
MAJKAM_clean,342.0
MAMVED_charged,1202.6
MAQMEZ_clean,239.0
MAVRAE_clean,146.7
MAXHUP_clean,88.0
MAZSOX_clean,127.5
MIBQAR16_clean,42.2
MIMSIM_clean,245.4
MINCET_clean,289.3
MIPHEA_clean,1222.9
MIVFUU_clean,131.7
MIXYOJ_clean,288.2
MIZKAI_clean,247.3
MIZPUI_clean,84.3
MODNIC_clean,107.4
MOKVOZ_clean,181.3
MOXBOS_clean,132.7
MOXPAR_clean,806.1
MOYMUJ_clean,402.6
MOYTUR_clean,365.8
MOYZIK_clean,53.5
MUFZIY_clean,241.5
MUGXIX_clean,257.4
MUKQUG_clean,185.6
MUKRAN_clean,195.6
MULXUO_clean,182.5
MUMLOX_clean,267.3
MUTCEL_clean,193.6
MUVJAP_clean,154.7
MUWRON_clean,137.1
MUZKEZ_clean,173.7
NACZUP01_clean,412.9
NACZUP03_clean,433.3
NACZUP_clean,421.1
NAHHOW_clean,133.1
NANPUN_clean,30.3
NATHOI_clean,390.5
NATXOW_clean,115.4
NAYHAY_clean,143.5
NEBYOK_clean,215.9
NEDLOZ_clean,242.6
NENHEU_clean,401.4
NIKHAS_clean,188.0
NIMQAC_clean,308.1
NIMQAD_clean,169.0
NIMQEH_clean,107.8
NIRFIE_clean,256.2
NIXFUX_clean,506.5
NIXGIM_clean,357.4
NIXKIQ_clean,327.9
NOBWEI_clean,527.4
NODKEX_clean,88.8
NODKIB_clean,322.0
NOFRIK_clean,563.1
NOHQEI_clean,989.1
NOMPOW_clean,169.5
NORPIV_clean,479.4
NUCPIM_clean,120.5
NUDLAB_clean,132.6
NUDLEF_clean,234.5
NUMPAO_clean,69.2
NUNZUT_clean,188.3
NUSXEG_clean,300.7
NUTQEZ_clean,69.9
NUTYOS_clean,145.3
NUVWIL_clean,73.3
NUVXUZ_clean,281.2
NUZCIV_clean,461.4
OBUBIW_clean,119.1
OCILEU_clean,163.4
OCILIY_clean,108.3
OCIMAR_clean,165.3
OCIMEV_clean,148.6
OCIMIZ_clean,79.6
OCIMOF_clean,142.2
OCIMUL_clean,149.3
OCINAS_clean,177.9
OCIZAD_clean,198.6
