AFOTOF_clean,0.120213,0.389491,0.281405,0.209331,0.000000,0.177702,0.000000,0.000000,0.357731,0.000000,0.178769,0.000000,0.000000,0.000000,0.153472,0.198087
AFOTUL_clean,0.086385,0.310059,0.180606,0.152750,0.104942,0.152468,0.000000,0.185764,0.316767,0.000000,0.139540,0.128424,0.000000,0.000000,0.000000,0.000000
AFOVAT_clean,0.090629,0.371181,0.343361,0.000000,0.000000,0.176997,0.000000,0.207282,0.311262,0.110324,0.000000,0.171775,0.000000,0.000000,0.000000,0.000000
AFOVEX_clean,0.173127,0.368524,0.405241,0.186959,0.225054,0.199427,0.131464,0.000000,0.381253,0.000000,0.000000,0.000000,0.129405,0.000000,0.000000,0.000000
AFOVIB_clean,0.135003,0.428388,0.337622,0.283102,0.000000,0.210497,0.000000,0.326122,0.348557,0.217913,0.230796,0.252026,0.173223,0.301737,0.000000,0.000000
AFOVOH_clean,0.235864,0.497030,0.373267,0.253048,0.213729,0.250176,0.197705,0.308965,0.356412,0.000000,0.196130,0.232162,0.000000,0.000000,0.169959,0.000000
AFOYAW_clean,0.070820,0.097969,0.079854,0.070026,0.000000,0.072230,0.116866,0.062153,0.054577,0.074059,0.000000,0.075886,0.000000,0.030616,0.000000,0.106937
AFOYEB_clean,0.138050,0.113611,0.048532,0.070727,0.000000,0.000000,0.081573,0.099436,0.000000,0.133332,0.098215,0.127860,0.000000,0.000000,0.000000,0.000000
AFOYIE_clean,0.196020,0.348217,0.170988,0.158773,0.211620,0.139916,0.000000,0.000000,0.126662,0.194267,0.162223,0.000000,0.185809,0.000000,0.000000,0.000000
AFOYOK_clean,0.129520,0.180153,0.038654,0.000000,0.151630,0.114206,0.160599,0.143245,0.000000,0.176918,0.118512,0.000000,0.000000,0.000000,0.000000,0.000000
AFUKET_clean,0.187314,0.000000,0.516529,0.654021,0.693184,0.704284,0.533803,0.000000,0.698444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AFUKIX_clean,0.248898,0.114055,0.072210,0.000000,0.000000,0.088868,0.000000,0.053945,0.104399,0.000000,0.117811,0.000000,0.148043,0.000000,0.000000,0.122912
AFUPEX_clean,0.035829,0.018220,0.076706,0.085941,0.079605,0.000000,0.025425,0.062826,0.033441,0.000000,0.000000,0.053692,0.000000,0.000000,0.055224,0.000000
AGABIU_clean,0.094564,0.115196,0.042885,0.084908,0.123948,0.000000,0.000000,0.140964,0.141696,0.128147,0.148193,0.000000,0.000000,0.000000,0.136504,0.000000
AGARUW_clean,0.159142,0.115643,0.089828,0.000000,0.000000,0.044591,0.124009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067125,0.000000,0.000000
AGIREP_clean,0.022553,0.211915,0.000000,0.199030,0.060163,0.139568,0.106055,0.159394,0.000000,0.115956,0.000000,0.000000,0.000000,0.116121,0.087621,0.000000
AGOFEJ_clean,0.152629,0.364399,0.313964,0.371382,0.240228,0.000000,0.337066,0.329168,0.000000,0.303862,0.000000,0.000000,0.000000,0.000000,0.271235,0.000000
AGONAM_clean,0.148910,0.146400,0.092473,0.013945,0.054089,0.000000,0.046279,0.063296,0.000000,0.063300,0.000000,0.050875,0.064891,0.053194,0.070559,0.000000
AGONEQ_clean,0.240765,0.073660,0.079618,0.088562,0.000000,0.000000,0.045159,0.128667,0.000000,0.000000,0.000000,0.080982,0.000000,0.000000,0.000000,0.047397
AGOVOJ_clean,0.032880,0.000000,0.269056,0.283343,0.063181,0.163162,0.217219,0.202867,0.000000,0.000000,0.151008,0.114112,0.000000,0.150349,0.163769,0.152817
AGUBUA_clean,0.738075,0.697852,0.000000,0.707801,0.000000,0.447487,0.619761,0.708969,0.000000,0.000000,0.690884,0.558815,0.000000,0.000000,0.000000,0.000000
AHAMAY_clean,0.318208,0.508766,0.650013,0.462550,0.545736,0.291000,0.490407,0.338995,0.000000,0.393694,0.000000,0.212678,0.373259,0.243963,0.289704,0.000000
AHEQAH_clean,0.115453,0.156958,0.148231,0.120449,0.000000,0.247201,0.168298,0.157309,0.204029,0.000000,0.145170,0.103617,0.000000,0.000000,0.000000,0.000000
AHIYOH_clean,0.105890,0.070528,0.096816,0.022120,0.096474,0.000000,0.017876,0.011334,0.028026,0.000000,0.027584,0.000000,0.000000,0.042998,0.000000,0.000000
AHOKIR01_clean,0.147085,0.062253,0.174431,0.000000,0.030590,0.111672,0.100047,0.000000,0.061870,0.047140,0.000000,0.089290,0.000000,0.124766,0.000000,0.000000
AHOKIR_clean,0.116987,0.097687,0.000000,0.081745,0.034311,0.000000,0.000000,0.047247,0.000000,0.008036,0.060879,0.000000,0.000000,0.005552,0.000000,0.000000
AHOKOX_clean,0.130273,0.044694,0.075882,0.041639,0.071474,0.000000,0.000000,0.090908,0.041493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AHUFIU_clean,0.071867,0.000000,0.000000,0.000000,0.000000,0.213490,0.000000,0.202959,0.273455,0.156201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AJAKON_clean,0.088051,0.051126,0.030214,0.000000,0.041746,0.078014,0.069795,0.000000,0.023442,0.000000,0.031653,0.000000,0.000000,0.000000,0.000000,0.000000
AJAYIT_clean,0.072429,0.047676,0.014361,0.014940,0.016604,0.000000,0.025265,0.036393,0.000000,0.041692,0.019074,0.005788,0.000000,0.000000,0.000000,0.000000
AJIGIL_clean,0.084918,0.000000,0.077144,0.082680,0.055243,0.000000,0.000000,0.055984,0.041579,0.000000,0.000000,0.000000,0.069580,0.000000,0.000000,0.040171
AJOTEY_clean,0.083904,0.000000,0.000000,0.053049,0.049769,0.040941,0.013486,0.050499,0.000000,0.017305,0.000000,0.000000,0.000000,0.026466,0.000000,0.000000
AJOVEB_clean,0.115321,0.106074,0.284578,0.208244,0.229806,0.000000,0.235365,0.191117,0.000000,0.156084,0.000000,0.000000,0.193565,0.000000,0.000000,0.000000
AJOXAA_clean,0.040547,0.066151,0.065542,0.022146,0.026176,0.035082,0.009847,0.034132,0.049300,0.036568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AKEDIF_clean,0.168528,0.058342,0.062230,0.018918,0.000000,0.044568,0.026441,0.000000,0.031348,0.000000,0.034217,0.000000,0.047649,0.000000,0.028377,0.000000
AKOBAF_clean,0.041328,0.116196,0.022958,0.105242,0.037977,0.036687,0.073777,0.000000,0.042931,0.000000,0.000000,0.000000,0.000000,0.030001,0.000000,0.055608
