GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
He,273,0.01,15,struct+input,random_struct,gbm,0.9784617666709845,0.029038376780585712,0.015791313701329985,0.0010675758412929594
He,313,0.1,5,struct+input,random_struct,gbm,0.9835656796739712,0.025016890042810103,0.0023641499520015395,0.00031031535379457575
He,293,0.5,1,struct+input,random_struct,gbm,0.9812876682921635,0.03303822412745789,0.00030389536052823996,7.557345559482695e-05
He,273,0.1,1,struct+input,random_struct,cat,0.990804028370303,0.005365107783108435,0.0006935120783478799,4.654091543170409e-05
Ar,273,0.5,1,struct+input,random_struct,rf,0.9866699825406066,0.010242657279517843,0.0148590964050939,0.00117044585336309
He,313,0.5,1,struct+input,random_struct,rf,0.9935518159580689,0.006766281434484832,0.00030641591492633997,3.465750528417777e-05
Ar,293,0.1,1,struct+input,random_struct,cat,0.9691669560400318,0.004731325477598966,0.01675070865742244,0.0007775029545924931
Ar,313,0.5,1,struct+input,random_struct,rf,0.9799572372643833,0.01456450234941144,0.00572481233905408,0.0006175433572161187
He,273,0.05,15,struct+input,random_struct,gbm,0.9836144061194304,0.019323278570386213,0.01011033223221384,0.0009977579179160738
Ar,293,0.01,15,struct+input,random_struct,cat,0.962279325262237,0.006221673011625345,0.1848310052021723,0.004387469032063905
Ar,293,0.5,5,struct+input,random_struct,rf,0.9719074479004227,0.00389093007290599,0.06721778158887347,0.002148746841544172
He,273,0.5,15,struct+input,random_struct,cat,0.9939771759278571,0.0024002420094873297,0.00843196694260108,0.00045489243539962904
Ar,273,0.5,5,struct+input,random_struct,gbm,0.946759665617455,0.005597085821642584,0.11754551548007239,0.002741729347893329
He,293,0.01,15,struct+input,random_struct,cat,0.9905354574055071,0.0025581154583467157,0.01438929823327916,0.000525833090211056
He,313,0.05,15,struct+input,random_struct,rf,0.9913185657870148,0.007923192015777689,0.00822289442214694,0.0005032433106903632
Ar,293,0.01,5,struct+input,random_struct,rf,0.9564975880613806,0.005216657180477582,0.08212207951164896,0.0024433017544301366
Ar,293,0.5,1,struct+input,random_struct,cat,0.9813286123276438,0.009468004867282073,0.0113073420841978,0.0010412340506083958
He,273,0.5,5,struct+input,random_struct,rf,0.9896802905503245,0.012549106498465154,0.0018440223064212,0.0002490184096724769
Ar,273,0.01,5,struct+input,random_struct,rf,0.9292179316242978,0.007432386355039592,0.13339746389519114,0.0030452330833946302
He,313,0.05,5,struct+input,random_struct,cat,0.9913913811551002,0.004004835986488993,0.0032361744688133797,0.00018863755251980193
He,293,Henry,1,struct+input,random_struct,gbm,0.9790359655415377,0.017168405637853962,0.0013198729250619803,5.4406294966463696e-05
He,313,0.05,1,struct+input,random_struct,gbm,0.9828831071602961,0.026322962460838602,0.00058437722365158,6.0548184819389004e-05
Ar,313,0.1,15,struct+input,random_struct,gbm,0.9584574553933303,0.002502563056047748,0.13945503094832362,0.0026310419280071223
He,313,0.5,15,struct+input,random_struct,gbm,0.9884622526713134,0.017640501076416598,0.00441274916271342,0.0007140358427421303
Ar,313,0.1,5,struct+input,random_struct,gbm,0.9323915375051511,0.012895424240008963,0.05741332533613584,0.0021307255313019542
Ar,293,0.05,5,struct+input,random_struct,cat,0.9626416228309257,0.003020609988249906,0.07928933412198355,0.00219178484939716
He,293,0.05,1,struct+input,random_struct,rf,0.9909571106514241,0.009454743607010362,0.0005989680817238,4.578886504437464e-05
Ar,313,0.5,5,struct+input,random_struct,gbm,0.9434995528851534,0.011274420492103358,0.05166766477670566,0.002535997376766615
Ar,273,0.05,5,struct+input,random_struct,cat,0.9365026583176427,0.008916951759657768,0.130170096404895,0.0028689306856453465
He,313,0.01,5,struct+input,random_struct,gbm,0.9850303219979342,0.01551424697676975,0.00430976312178014,0.0002555848541783255
He,313,0.1,1,struct+input,random_struct,gbm,0.9816676160990614,0.03025498570511832,0.00048505928305472005,6.487387784805034e-05
He,293,0.5,15,struct+input,random_struct,rf,0.9915875415298443,0.010422034491032387,0.00449805249851244,0.0007082822372911462
Ar,273,0.01,5,struct+input,random_struct,gbm,0.9295435867227665,0.009100230604608888,0.13881772199870068,0.003642571590609716
He,273,0.05,1,struct+input,random_struct,rf,0.9911022838997517,0.008177815854705289,0.0006620814484302,3.944720259887229e-05
Ar,313,0.1,5,struct+input,random_struct,cat,0.9393630719819436,0.012875806578462616,0.05639502513224008,0.0021064728181203396
