GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
He,313,0.1,5,struct+input,qt_then_rd,cat,0.9954096287843448,0.0002861578973666029,0.0024165922792852602,6.220797281131276e-05
He,293,0.1,15,struct+input,qt_then_rd,cat,0.9962978174439538,0.00024022514283896258,0.00712209030352564,9.41622781061905e-05
He,273,0.01,5,struct+input,qt_then_rd,rf,0.9877802331730463,0.0007028754901289531,0.004985733409758999,9.2368689145694e-05
Ar,273,0.1,5,struct+input,qt_then_rd,gbm,0.945569194473966,0.002729134690656928,0.11390532800788593,0.0022667981733316784
Ar,313,0.1,1,struct+input,qt_then_rd,cat,0.9942233597585662,0.0007565792861114961,0.00519702636317442,8.483739927249305e-05
Ar,273,0.01,1,struct+input,qt_then_rd,gbm,0.980844318055832,0.0018548033779714193,0.018852265414614343,0.00046780032078160184
Ar,273,0.1,5,struct+input,qt_then_rd,rf,0.9458629950689253,0.0034406509997872824,0.10856421452485135,0.0027497408734127008
He,273,0.01,15,struct+input,qt_then_rd,rf,0.9879727092778652,0.0006927296889302025,0.014458384003759438,0.00034737778427545654
Ar,273,0.1,15,struct+input,qt_then_rd,cat,0.9489751415362868,0.004040267572753128,0.2569445159779865,0.0060557104636664045
He,313,0.1,15,struct+input,qt_then_rd,gbm,0.9966591379984864,0.00010190692705300429,0.0059927026516491,9.817222735481788e-05
He,273,0.01,15,struct+input,qt_then_rd,cat,0.9878302222786509,0.0011667395571582021,0.014793338309779238,0.00041348570220757383
Ar,313,0.5,15,struct+input,qt_then_rd,cat,0.9675001905034748,0.0025001703057202646,0.11928235478894708,0.0010318845048355727
He,313,0.1,1,struct+input,qt_then_rd,rf,0.9965909883036297,0.0001958040521526168,0.00041185130219428,8.670222304602755e-06
He,273,0.05,5,struct+input,qt_then_rd,rf,0.9950462871732135,0.0003538822770312604,0.00296856232431434,4.672306881202808e-05
Ar,293,0.05,5,struct+input,qt_then_rd,rf,0.9625799563860122,0.003228914863583471,0.06970295185115301,0.002104365425143432
He,273,0.5,5,struct+input,qt_then_rd,rf,0.9979200898683664,0.00037636423118961787,0.00148456774253614,3.622587476617302e-05
He,273,0.1,5,struct+input,qt_then_rd,rf,0.9965659610921577,0.0004518206266742438,0.00236577296861882,7.67937519560957e-05
He,293,0.01,1,struct+input,qt_then_rd,cat,0.987630280332351,0.0013205491260562662,0.00092778901797206,2.0223021783590637e-05
Ar,313,0.01,5,struct+input,qt_then_rd,cat,0.9673400294177108,0.004824516363463857,0.04726525355282484,0.0003751890995248436
Ar,313,0.05,1,struct+input,qt_then_rd,rf,0.994599248968308,0.0006412658986590082,0.0049361891246269005,0.00015681785009677134
Ar,313,0.1,5,struct+input,qt_then_rd,gbm,0.9654922697642748,0.00212874302916368,0.043077827412492435,0.0006119535239901905
Ar,273,0.5,5,struct+input,qt_then_rd,gbm,0.9563207620440386,0.0036664740235112453,0.10335758439868134,0.0020477511634800355
Ar,313,0.5,1,struct+input,qt_then_rd,cat,0.996939069474554,0.0001582043120915149,0.0042102808377538405,0.00011060133333341971
Ar,273,0.05,15,struct+input,qt_then_rd,cat,0.9479354285885446,0.0027591781769916793,0.26147341026665777,0.005185486303226194
Ar,293,0.1,15,struct+input,qt_then_rd,gbm,0.9618622783643314,0.001887438768726081,0.18069039129459968,0.0030115792176726697
Ar,313,0.1,5,struct+input,qt_then_rd,rf,0.9656717373076334,0.0017264722569914717,0.04124000577236606,0.0006482283542289693
Ar,313,0.01,15,struct+input,qt_then_rd,rf,0.9602156335312477,0.0018279807358297794,0.13058205189081734,0.0021162027677233014
Ar,273,0.1,1,struct+input,qt_then_rd,cat,0.9864837767652535,0.002859917071406083,0.0166462608434824,0.000468583053393271
He,273,0.5,5,struct+input,qt_then_rd,cat,0.9968433266743608,0.0003047768506236133,0.0022892508884950202,8.658829475235534e-05
He,293,Henry,1,struct+input,qt_then_rd,gbm,0.9725545668779478,0.0010176893629450456,0.0012666606918327401,1.920133954518668e-05
He,293,0.1,5,struct+input,qt_then_rd,cat,0.9964285303261479,0.00014932923337658232,0.00239740389326476,3.5181947776985645e-05
