filename,Ar_273K,Ar_293K,Ar_313K,rel_273K,rel_293K,rel_313K
RIXPIZ_clean,0.727768271,0.336752109,0.368794667,1.9733698345480684,0.9131154518565747,1.0
RUBTAK03_auto,0.129050859,0.322368496,0.072683655,1.7755141647733592,4.435226819564867,1.0
SABVOH01_clean,1.109025995,0.457585433,0.53590753,2.069435365089944,0.8538514713536494,1.0
SABVOH_manual,1.058604528,0.440668821,0.503746151,2.1014642511878967,0.8747834998346221,1.0
SABVUN_clean_h_min,1.001994754,0.413567505,0.463179525,2.163296734673235,0.8928881409427587,1.0
SUSZIQ_clean,1.205387196,0.150036313,0.580451008,2.0766389917269295,0.25848230243748666,1.0
SUSZOW_clean,1.181730847,0.14383675,0.558532329,2.1157787752694257,0.2575262747234816,1.0
TAWHOO_clean,2.989047921,0.505662128,1.821973514,1.6405550893205796,0.27753538902432145,1.0
TOXMUQ_clean,1.746249536,0.642455095,0.748856843,2.331886998594203,0.8579144345216325,1.0
TOXNEB_clean,1.686959964,0.630496582,0.730158308,2.310403025640845,0.8635066876483449,1.0
TOXNIF_clean,1.687643747,0.616668634,0.72460729,2.3290460505855526,0.8510384073005945,1.0
TUYLIJ_clean,3.303293942,0.5019857,1.889467271,1.7482673517026481,0.26567578475933284,1.0
UKUPUL_clean,0.603772979,0.11223498,0.282479311,2.137406016966673,0.39732106256801225,1.0
WAYMEQ_SL,0.978548462,0.423539976,0.467566351,2.092854757206427,0.9058392998002545,1.0
WAYMIU_manual,1.044949507,0.438398323,0.498115957,2.0978037188236476,0.8801129874263394,1.0
WAYMOA_manual,0.907610426,0.395707355,0.445838449,2.0357383443167323,0.8875577148798128,1.0
WERHIK_clean,2.895992244,0.376185692,1.490459624,1.9430195876275544,0.2523957616445972,1.0
WIZMAV02_auto,0.222308584,0.271693079,0.133859359,1.6607623528213666,2.0296905724761465,1.0
XISLAM_clean,2.362664289,0.425493351,1.58545601,1.490211191037713,0.2683728519216374,1.0
XUPSAE_clean,1.65981125,0.626087902,0.72988418,2.2740748402027293,0.8577907552400985,1.0
YIZGEV_clean,3.103071554,0.095309552,1.35625848,2.287964720412292,0.07027388466540685,1.0
YIZGIZ_clean,3.061418771,0.3302775,1.33746399,2.2889728575047465,0.24694309713714235,1.0
YIZGOF_clean,3.136106063,0.345881487,1.369313997,2.2902753275514796,0.252594720975455,1.0
YOTXOW_clean,0.363045814,0.121262203,0.166449257,2.181120063515814,0.7285235463682485,1.0
YUTDUO_clean,2.090636304,0.149392341,0.935496081,2.234788949372413,0.15969317673710276,1.0
