name,N2_293_0.01,N2_293_5
BANMAG_clean,0.0005648529,0.2635179598
BAPDAA_clean,0.0024815721,1.0786434047
BAQWIC_clean,0.0009135948,0.4049466225
BARZUR_clean,0.0060145673,2.127968172
BASJUB_clean,0.0046217883,1.6040590184
BAWROI_clean,0.0026334543,1.2667783413
BAWRUO_clean,0.0012059126,0.4621093124
BAXSIE_clean,0.0074252521,1.5824003479
BAZFUF01_clean,0.0030221074,1.4590699438
BAZFUF_clean,0.003005915,1.4535232799
BAZGAM_clean,0.0046853614,2.4669704091
BAZGEQ_clean,0.002932339,1.5221423269
BAZJET_clean,0.0039039467,1.7365995088
BAZJIX_clean,0.0048202491,1.9309373726
BEDYEQ_clean,0.0040990553,1.730227038
BEFGEA_manual,0.0040311935,1.7739318806
BEFLUV_clean,0.0066325128,1.4100944346
BEGDEY_clean,0.0197333409,2.6712052385
BEJZAS_clean,0.0033202496,1.2993912229
BEKYOG_clean,0.001083157,0.3940811803
BELJIL_clean,0.0012267645,0.5131643878
BELTOD_clean,0.0048605202,1.6656756084
BELTUJ_clean,0.0047132839,1.6101455832
BENZOL_clean,0.0065637732,1.8840704045
BENZUR_clean,0.0057025014,1.640376793
BEPBAB_clean,0.0085636381,2.2084402919
BEPLUF_clean,0.0014195228,0.6787590086
BEPMAM_clean,0.0014734646,0.6724165808
BEPMIU_clean,0.0010563303,0.4845927768
BEPNIV_clean,0.0015052186,0.6689955383
BEPNOB_clean,0.0014710091,0.6487064462
BEPNUH_clean,0.0009950949,0.4753343453
BEPPAP_clean,0.0009521851,0.4738335813
BEPPIX_clean,0.0012912996,0.5864588675
BEPPOD_clean,0.0012091735,0.5986048141
BEPREV01_clean,0.0072200832,2.6617964494
BEPREV02_clean,0.0063079294,2.4447325816
BEPREV03_clean,0.007112682,2.6069673825
BEPREV_clean,0.0067889657,2.5941049548
BEPRIZ_clean,0.0037974392,1.5679683934
BEPROF_clean,0.0046310808,1.9455606668
BEPVEZ_clean,0.001909064,0.6784022297
BEPVID_clean,0.0021208175,0.6841228558
BEPVOJ01_clean,0.0021175345,0.6702718823
BEPVOJ_clean,0.0021241005,0.6523450654
BERQIA_clean,0.0090648337,2.0198301049
BETDAH_clean,0.0056679087,1.9337608275
BETDEL_clean,0.005460104,1.996903862
BETDIP_clean,0.0059621449,2.0389706635
BETDOV_clean,0.0040273527,1.2755814805
BETDUB_clean,0.0059339937,2.0356776255
BETFAJ_clean,0.0061445488,2.1367651441
BETFEN_clean,0.0070930467,2.2645174976
BETFOX_clean,0.0047809592,1.3426272091
BETFUD_clean,0.006883472,2.3279596981
BETGAK_clean,0.0058838796,2.0130753512
BETGEO_clean,0.0031814859,1.1063176376
BETGIS_clean,0.0024569692,0.9043414142
BETGOY_clean,0.0034031666,1.2577188134
BETGUE_clean,0.0033217941,1.3824635455
BETHEP_clean,0.0029889923,1.2792020294
BETHIT_clean,0.0028994745,1.2515402179
BETZOR_clean,0.0057043988,1.7045525218
BEVWAB_clean,0.0035454237,1.3140290083
BEWCUD_clean,0.0029622728,1.5225124682
BEWVEG_clean,0.0027008294,1.1206467268
BEWVOQ_clean,0.001552709,0.7545098661
BEWWEH_clean,0.0015014668,0.7118784582
BEXPAX_clean,0.0074905255,2.8285427923
BEXQIF_clean,0.0022373879,0.9797031619
BEXQOL_clean,0.0019086164,0.8489797272
BEXQUR_clean,0.001841446,0.8591258407
BEXRAY_clean,0.0018399584,0.8710474109
BEXREC_clean,0.0018843028,0.8881722128
BEXRIG_clean,0.0018982307,0.9228321673
BEXRUT_clean,0.003766845,1.4351075282
BEXSAA_clean,0.0047710496,1.7335140436
BEXSEE_clean,0.0038341953,1.4729364022
BEXSII_clean,0.0045578912,1.745590943
BEXTUV_clean,0.0098355455,2.2202752915
BEXVAD_clean,0.0081757142,1.9087947677
BEXVEH_clean,0.0037659044,1.5710770414
BEXVIL_clean,0.0037151867,1.5842854902
BEYKEX_clean,0.0012439985,0.5219180026
BEYSEF_clean,0.0016126637,0.7318302987
BIBXIV_clean,0.0033592675,1.3873848274
BIBXOB_clean,0.002791391,1.3039174088
BIBXUH_clean,0.003061663,1.3248522822
BICPOT_clean,0.0029483847,1.1168581849
BICPUA_clean,0.0027171299,1.2736812462
BIDPOV_clean,0.0049475438,2.0441099274
BIFGOO_clean,0.0006668513,0.3029525296
BIFKEI_clean,0.0046792825,1.6689053534
BIGZUO_clean,0.0022797547,1.1614739469
BIHBAX_clean,0.0023331864,1.1246938198
BIHBEB_clean,0.0122459392,2.2701242439
BIJDUV_clean,0.0042037561,1.5798254405
BIJFAD_clean,0.00704759,1.9620472056
BINCUY_manual,0.0031708546,1.3732253119
BINDAF_manual,0.0031865615,1.4123408951
BINMIW_clean,0.0121646152,1.4334599833
BINROH_clean,0.0039194397,1.6734676452
BINRUN_clean,0.0041365306,1.783484589
BINSAU_clean,0.0041121566,1.7438117036
BIPBAF_clean,0.0035124673,1.5887425293
BIPLIX_clean,0.0021041183,0.8625819612
BIPSUQ_clean,0.0028676041,1.3430461336
BIQVII_clean,0.0054442212,1.1601174639
BIRGIU_clean,0.0020371673,0.8008964878
BIRMUM_clean,0.0015971101,0.5567747985
BIRSEC_clean,0.0031735133,1.0783843433
BIRSIG_clean,0.0033817428,1.1151882127
BIWSEG_ion_b,0.0186835383,9.9663103176
BIWSIK_ion_b,0.0030610057,1.3213948618
BIWSOQ_clean,0.0085819757,2.4947398916
BIWYAH10_clean,0.0016612587,0.7911516597
BIXXIR_clean,0.0008622829,0.3443670328
BIXYEO_clean,0.0011238796,0.4370369322
BIYSUZ_clean,0.0016875598,0.7258588985
BIYTAG_clean,0.0017286314,0.7639543418
BIYTOU_clean,0.0040648931,1.5211726323
BIYVEM_clean,0.0016507441,0.7280291851
BIYVIQ_clean,0.0015583485,0.6518575762
BIZLUT_clean,0.0036529153,1.4752910372
BIZMAA_clean,0.003590848,1.4881498573
BIZMEE_clean,0.0035711198,1.4746500033
BIZMII_clean,0.0035111288,1.4795076874
BOHWOM_clean,0.0140777122,1.8396431241
BOJCIN_clean,0.0017038711,0.6461162973
BOKQEZ_clean,0.0021339421,0.8984103311
BOLPAU_clean,0.0043942775,1.5942624605
BOLZIN_clean,0.002742104,1.3523115155
BOMCOX_clean,0.0043584117,1.457270517
BOPHIZ_clean,0.0045886541,1.5953427637
BORBEQ_clean,0.003286412,1.2741953465
BOSHIC_clean,0.0101178907,2.7932218575
BOVHEB_clean,0.0130418404,2.4230521385
BOWDIC_clean,0.0050989773,1.6286718573
BOWNUY_clean,0.0031853277,1.3207386692
BOWRAH_clean,0.0268987657,1.4378314897
BOWSOW_clean,0.0254618259,3.0954740384
BOWZUK_clean,0.0024603128,1.0647259383
BOXFOK_clean,0.0047463146,1.3766174213
BOXYIY_clean,0.0022932692,0.8169582983
BOYCEY_auto,0.0041941092,1.7424173978
BOYTEQ_clean,0.0039795245,0.9159484189
BOYYOF_clean,0.0022035484,0.8715745375
BOZFIH_clean,0.006136612,1.9641638198
BOZFON_clean,0.0040188595,1.1764281944
BUBQOE_clean,0.0013647514,0.495496145
BUBTUP_clean,0.0026747452,0.9459287173
BUCWAZ_clean,0.003642023,1.4697678987
BUGSAY_clean,0.0018829375,0.7201605246
