,MOF,15bar time (s),1bar time (s),5bar time (s)
237,ADAVIM_clean,7037.2,687.7,2409.9
238,NIKDEQ_clean,309.5,117.8,222.6
239,XUGROI_clean,3479.5,349.4,1316.7
240,KUDLUR_clean,1282.3,386.2,607.7
241,HUWDEJ_clean,815.5,314.5,551.8
242,WUDYUR_clean,869.6,314.6,487.5
243,WOGLAG_clean,314.3,213.5,242.3
244,TONLOY_clean,1158.9,449.4,503.0
245,LIVKUW_clean,803.7,150.8,458.8
246,NERVOV_clean,1283.9,389.3,813.5
247,NUYNEC_clean,716.7,187.2,245.8
248,ic2017598_si_001_clean_h,323.9,135.3,145.9
249,c4dt03077j_c4dt03077j2_clean,2580.9,672.2,1565.9
250,AVIVAC_clean,2229.9,268.9,855.4
251,XEDLUN01_clean,974.5,208.0,499.3
252,COKFAK_clean,1381.8,406.6,748.7
253,POXHOA_clean,1724.4,519.1,774.7
254,WAVQIV_ion_b,7156.6,718.7,2192.4
255,COTXOA_clean,1765.0,305.0,960.3
256,c6cc00862c_c6cc00862c2_clean,2988.9,367.4,1257.1
257,NAVLIG_clean,1167.8,294.1,667.5
258,QEZLIS_clean,2662.1,1189.4,2254.3
259,WEYQAU06_clean,1350.1,194.0,634.5
260,FUYCAE_clean,1065.3,189.0,405.7
261,OGIJIY_clean,2188.0,572.3,1529.7
262,GEBSAJ_clean,7661.4,5540.9,6727.0
263,LUSQOH_clean,12889.0,1174.3,4871.6
264,SAXRIS_clean,1290.0,305.0,425.2
265,FONQIJ_clean,1156.3,271.0,582.9
266,EJEFOP_clean,969.6,537.5,551.3
267,OWAVOY_clean,1629.9,249.2,718.6
268,EBITAL01_clean,3099.5,1097.8,2366.2
269,ZURROT_clean,1147.4,286.5,459.9
270,OREZAO_clean,795.5,370.5,413.1
271,COWXOC_clean,837.2,368.6,437.3
272,BIYTOU_clean,1027.1,232.3,411.5
273,COYCEZ_clean,2368.9,373.1,977.1
274,NELWIL_clean,325.3,120.2,210.6
275,SERWET_clean,3696.8,619.0,2126.7
276,GULWOA_clean,759.1,221.1,279.2
277,AHAMAY_clean,1024.9,347.9,748.4
278,QAPQEE_clean,764.9,230.1,334.7
279,CAWDOU02_clean,1333.0,254.7,564.3
280,FUVDEH07_clean,2554.2,952.1,1188.8
281,PUBROU_clean,3488.9,385.6,1586.6
282,FARFIO_clean,474.3,178.1,193.8
283,DAKHUU_clean,2287.3,500.5,1211.5
284,IYOBAA_clean,2141.1,510.6,830.5
285,WOBHEB_clean,1169.8,218.2,412.5
286,QEZZAY_clean,951.5,196.9,518.5
287,NUVXUZ_clean,625.9,188.1,212.8
288,jacs.6b08724_ja6b08724_si_012_clean,123.7,74.9,85.5
289,LAHTUM_clean,2887.0,370.9,1298.3
290,CODMUF_clean,1656.7,257.3,935.8
291,c4dt02316a_c4dt02316a2_clean,1225.0,281.4,627.9
292,j.jssc.2014.12.022_1-squeeze_clean,662.1,336.3,353.8
293,NARPOO_clean,1115.3,294.7,616.8
294,ja5b00450_si_003_clean,15697.4,2895.2,8692.7
295,ILUHUT_clean,926.6,288.7,377.6
296,YOZCEW_clean,6873.7,742.1,2983.5
297,HADPOU_clean,635.8,161.7,368.4
298,CUHLUO_clean,15495.9,3836.9,11275.1
299,c5ce00388a_c5ce00388a2_clean,494.5,187.9,200.8
300,UCALIW_clean,513.9,289.6,310.5
301,QIQTAN_clean,1158.5,389.6,595.8
302,SINZIA_clean,606.4,405.1,532.5
303,YARGAB_clean,1245.4,264.7,460.6
304,MEJQOJ_clean,1554.6,317.2,959.3
305,ACODAZ_clean,1693.8,270.5,531.9
306,BIWSOQ_clean,614.4,139.7,294.2
307,BUVKUA_clean,709.7,353.3,433.6
308,WUXMIL_clean,1045.2,289.0,649.9
309,HOTWUJ_clean,2796.6,411.8,1539.9
310,ETESIG_clean,1787.7,374.9,1071.7
311,SABYUS_clean,673.9,260.8,395.9
312,IBOTEY_clean,13405.5,1149.9,5190.5
313,XOVQEF_SL,274.3,114.1,121.5
314,MOVHEM_clean,2168.4,297.9,993.0
315,FOZCAA_clean,928.2,332.8,515.8
316,FUVDEH10_clean,5922.2,908.7,3132.1
