name,O2_293_0.01,O2_293_5
BEXREC_clean,0.0019146948,0.9716802589
BEXRIG_clean,0.0021050892,0.9887561385
BEXRUT_clean,0.0030124402,1.1755025085
BEXSAA_clean,0.0028416196,1.2095249839
BEXSEE_clean,0.0027596548,1.1510709694
BEXSII_clean,0.0045680651,1.8597900264
BEXTUV_clean,0.0096938333,2.3860678245
BEXVAD01_clean,0.0086760949,2.1343492654
BEXVAD_clean,0.0097436866,2.3280733734
BEXVEH_clean,0.0036169947,1.6092885618
BEXVIL_clean,0.0030248216,1.3474391434
BEYKEX_clean,0.0013132699,0.5724312708
BEYSEF_clean,0.0018944884,0.7942662169
BIBXIV_clean,0.0031439612,1.3883634924
BIBXOB_clean,0.0027647217,1.3386053314
BIBXUH_clean,0.0032092544,1.3767941499
BICPUA_clean,0.0027432368,1.2965810483
BIDPOV_clean,0.0050575798,2.1633828198
BIFGOO_clean,0.0007126798,0.3440728468
BIFKEI_clean,0.0045276859,1.7630418046
BIGZUO_clean,0.0024900892,1.1728421879
BIHBAX_clean,0.0022479501,1.1260792288
BIHBEB_clean,0.0110123243,2.4411208557
BIJDUV_clean,0.0026257173,1.1118587056
BIJFAD_clean,0.0029780491,1.2620976673
BIMDIL_clean,0.0052545999,1.8264382571
BINCUY_manual,0.0032063552,1.4190373025
BINDAF_manual,0.0031445906,1.456124638
BINMIW_clean,0.0106358057,1.540929265
BINROH_clean,0.0038873131,1.7533159021
BINRUN_clean,0.0042005211,1.8608811332
BINSAU_clean,0.0036864385,1.7407193993
BIPBAF_clean,0.0034891779,1.623545385
BIPLIX_clean,0.0018444803,0.855774343
BIPSUQ_clean,0.0031371324,1.3664818379
BIQHEQ_clean,0.0071148944,2.036442388
BIQVII_clean,0.002291786,0.8379395704
BIRGIU_clean,0.0017607157,0.8176151557
BIRMUM_clean,0.0013121039,0.524723255
BIRSEC_clean,0.0027657753,1.0445610974
BIRSIG_clean,0.0029678266,1.1078052801
BIWSEG_ion_b,0.0225160589,9.9017962196
BIWSIK_ion_b,0.0030176135,1.3737927328
BIWSOQ_clean,0.0078126319,2.5988107951
BIWYAH10_clean,0.0014361065,0.7226505984
BIXXIR_clean,0.0005931628,0.2596968228
BIXYEO_clean,0.0005979396,0.2686384215
BIYSUZ_clean,0.0016511813,0.7557317392
BIYTAG_clean,0.0017205725,0.7594715856
BIYTOU_clean,0.0031812207,1.3260556589
BIYVEM_clean,0.0016487813,0.7320255168
BIYVIQ_clean,0.0015717991,0.6798982423
BIZLUT_clean,0.0037146161,1.605840769
BIZMAA_clean,0.0039026998,1.6099837458
BIZMEE_clean,0.0038106323,1.6206481883
BIZMII_clean,0.0039651638,1.6219558006
BOHJOZ_auto,0.0023442529,0.8025342425
BOHWOM_clean,0.0037616162,1.4783151768
BOJCIN_clean,0.0017894843,0.6832287912
BOKQEZ_clean,0.0018135055,0.7915157169
BOLPAU_clean,0.0042158669,1.6857504387
BOLZIN_clean,0.0028504546,1.4376167876
BOMCOX_clean,0.0043803807,1.5736404745
BOPHIZ_clean,0.0043715369,1.6291765617
BORBEQ_clean,0.0035988358,1.362897466
BOSHIC_clean,0.0105400632,2.897024647
BOVHEB_clean,0.0112501575,2.4735024708
BOWDIC_clean,0.00524074,1.757834012
BOWNUY_clean,0.0031602957,1.3408540033
BOWSOW_clean,0.0093239515,2.406160708
BOWZUK_clean,0.0024603128,1.106964719
BOXFOK_clean,0.004338785,1.2840449648
BOXYIY_clean,0.0024490574,0.9332181672
BOYCEY_auto,0.0043750229,1.8192726284
BOYTEQ_clean,0.0036402523,0.9570488238
BOYYOF_clean,0.0015966259,0.7185379452
BOZFIH_clean,0.0060489159,2.0743512944
BOZFON_clean,0.0041677989,1.3227216899
BUBQOE_clean,0.0014939818,0.5545081014
BUBTUP_clean,0.0023191433,0.9087434025
BUCSAU_clean,0.0113153798,1.9382054505
