name,He_273_0.01,He_273_0.05,He_273_0.1,He_273_0.5,He_273_1,He_273_5,He_273_15,He_313_0.01,He_313_0.05,He_313_0.1,He_313_0.5,He_313_1,He_313_5,He_313_15
ADUROI_clean,0.0009133256,0.0043644077,0.0090377016,0.0456573929,0.0918481224,0.4540828775,1.3130734873,0.0008133265,0.0038288569,0.0078154903,0.0385796781,0.0777237959,0.3839190186,1.1050463343
ADUWIH_clean,0.0004116481,0.0021544699,0.0042407773,0.0212439821,0.0428020506,0.2126844251,0.6089545636,0.0003287839,0.0017307933,0.0033493189,0.0172825391,0.0343004473,0.1719138848,0.507254753
ADUWON_clean,0.0006833853,0.0032932102,0.0068633093,0.0344932842,0.0674430675,0.3334095879,0.9983494539,0.0005655603,0.00272765,0.0055377775,0.0280718219,0.0559374499,0.2713864734,0.8171580682
AFEJOK_ion_b,0.0002328298,0.0010825842,0.0020880529,0.0106434344,0.021008067,0.1043284986,0.3105904633,0.0001527482,0.0008690334,0.001686162,0.0083700075,0.0166258251,0.0827331667,0.2471272968
AFEKAX_clean,0.0003233217,0.0015928349,0.0034115195,0.0160258207,,,,,,,,,,
AFENEE_clean,9.64997e-05,0.0004787868,0.0009093238,0.0045781672,0.0092918054,0.0465091328,0.1372782135,7.42305e-05,0.0003822872,0.0007460167,0.0035927572,0.0072411873,0.0353467182,0.1051549557
AFIPAH_clean,0.0001104904,0.000457746,0.0008221013,0.0043328029,0.0087853048,0.0439725615,0.1283714678,5.65606e-05,0.0002985872,0.0006274277,0.0034462489,0.0067017709,0.034048153,0.1005147251
AFITEP_clean,0.0001955433,0.0009031012,0.0019657246,0.0097720184,0.0193201924,0.0972287588,0.2892445581,0.0001518033,0.0007718814,0.001451137,0.0073225814,0.0145705486,0.0741314932,0.219844698
AFITUF_clean,0.0001289362,0.0007312527,0.0014956605,0.0076532872,0.0152586845,0.0747811846,0.2248961377,0.0001142007,0.0006023165,0.0011438487,0.0060231649,0.0117074117,0.0593217279,0.1739055336
AFIXAO_clean,0.0001370386,0.0006474266,0.0014869232,0.0073018934,0.0152328701,0.073596225,0.2185464206,0.0001132997,0.000606423,0.0011934231,0.0059056101,0.0119935788,0.0596323111,0.1747900901
AFIXES_clean,0.0001780423,0.0007855443,0.0015344011,0.0076299229,0.0148972873,0.0749525838,0.2215353736,0.0001240901,0.0005664983,0.0012311897,0.0059865383,0.0122266524,0.0599581825,0.1767420815
