,MOF,Ar_273_0.01,Ar_273_0.05,Ar_273_0.1,Ar_273_0.5,Ar_273_1,Ar_273_5,Ar_273_15,Ar_293_0.01,Ar_293_0.05,Ar_293_0.1,Ar_293_0.5,Ar_293_1,Ar_293_5,Ar_293_15,Ar_313_0.01,Ar_313_0.05,Ar_313_0.1,Ar_313_0.5,Ar_313_1,Ar_313_5,Ar_313_15
4463,KIYMIQ_clean,0.008348432,0.042040463,0.083270107,0.400678704,0.729773105,2.474291368,4.215376098,0.005331385,0.026246513,0.051690214,0.253846419,0.490793768,1.810232579,3.468073221,0.003597634,0.016806976,0.034789139,0.167819506,0.323989244,1.3274628,2.841638438
4464,KIYQEQ_clean,0.009824144,0.048598031,0.096655298,0.462829856,0.848113445,2.963205847,4.917915462,0.006118626,0.03079648,0.060805161,0.299454159,0.572263224,2.169248636,4.040980227,0.004026363,0.020613832,0.041003224,0.201396459,0.3896082,1.590181265,3.281636482
4465,KIYQIU_clean,0.011020153,0.054145765,0.110133746,0.514012713,0.962677244,3.256294035,5.136105776,0.006626252,0.034384507,0.068407501,0.332383572,0.623989862,2.382665458,4.297170189,0.004520432,0.02261421,0.045002473,0.223323792,0.434130161,1.72677951,3.50691699
4466,KIYQOA_clean,0.013748078,0.066935831,0.134846243,0.583799986,1.040018654,2.848358851,4.133520298,0.007850881,0.040135594,0.078974256,0.367923418,0.667195313,2.164535397,3.500146133,0.004922616,0.024710991,0.048964064,0.237085427,0.445977277,1.582604533,2.894099419
4467,KIYTOD_clean,0.004791786,0.023961301,0.047465225,0.239463707,0.473590569,2.136518256,5.375064463,0.003372261,0.017114877,0.033502219,0.166833322,0.335891911,1.546640332,4.083796492,0.002528603,0.012429732,0.02531921,0.12553437,0.251696744,1.170959056,3.191353509
4468,KIYXUN_clean,0.001460444,0.007165303,0.014389668,0.070725485,0.141722119,0.671306232,1.939791768,0.001111441,0.00554915,0.011058031,0.055123707,0.111004481,0.528755892,1.528761352,0.0008913,0.004365224,0.0089573,0.044402595,0.089108554,0.434080703,1.232836205
4469,KOBFIR_clean,0.006448644,0.032130436,0.063736754,0.312297046,0.60445203,2.474921551,5.307477481,0.004301308,0.021756434,0.043161245,0.211206368,0.414190494,1.784235483,4.142289732,0.002777605,0.014953955,0.030597888,0.14844487,0.295826023,1.314957291,3.260649931
4470,KOBPIB_clean,,,,,,,,0.002149828,0.010358261,0.021441049,0.099799084,0.188113703,0.689414436,1.355376205,,,,,,,
4471,KOBPUN_clean,,,,,,,,0.001674622,0.00798,0.016209211,0.077402763,0.147386515,0.559314238,1.151937388,,,,,,,
4472,KOBRAV01_clean,0.003606909,0.017668982,0.036352173,0.17125696,0.325195505,1.158894059,2.101551636,0.002199015,0.011739329,0.022312598,0.109596436,0.211465387,0.834107221,1.692229261,0.001555995,0.00754189,0.015366859,0.076166904,0.147049048,0.62354728,1.336658087
4473,KOBRAV_clean,0.003642529,0.017839579,0.035334215,0.170484586,0.329362948,1.167512023,2.094780245,0.00226088,0.011328771,0.022970615,0.112009166,0.216221483,0.849264115,1.686665171,0.001629108,0.007744357,0.015318117,0.075092705,0.146957188,0.631505383,1.333969777
4474,KOCCUC_clean,0.003851746,0.019448038,0.037977311,0.191292466,0.385628973,1.706530738,4.22745096,0.002723483,0.01351645,0.026631572,0.13334969,0.264811368,1.190808113,3.155320057,0.001976355,0.009740426,0.019054281,0.097406779,0.191623121,0.892638499,2.368872144
