name,H2_293_0.01,H2_293_5
BAKFAV_clean,0.0030423817,1.020264981
BAKGAX_clean,0.0019293168,0.7629175636
BAKGIF_manual,0.0015985735,0.7580519574
BAKJEE_clean,0.0027748148,1.3027182745
BAKJII_clean,0.0035462715,1.5997247811
BAKJOO_clean,0.0023693228,1.0898067227
BAKLIK_clean,0.0005131143,0.2016744569
BAKYIY_clean,0.0031626804,1.4127592063
BAKYOE_clean,0.0029418654,1.221665463
BALPEL_clean,0.0006196204,0.2639434341
BAMKIM_clean,0.0011545322,0.5640350339
BAMKOS_clean,0.0012936542,0.5857037415
BANMAG_clean,0.0005648529,0.2682073984
BAPDAA_clean,0.0014513135,0.6866279539
BAQWEY_clean,0.0007250835,0.3495745431
BAQWIC_clean,0.0006039627,0.2935798657
BARZUR_clean,0.0037778532,1.5852115908
BASJUB_clean,0.002667039,1.1370206316
BASSOF_clean,0.0003971601,0.1659334773
BASTIA_clean,0.0003709094,0.1630259465
BAWROI_clean,0.0022765393,1.0592081219
BAWRUO_clean,0.0008365819,0.3838207877
BAXFIR01_clean,0.0027446275,1.1350046486
BAXFIR02_clean,0.002974059,1.1922684656
BAXFUD_clean,0.0024610445,0.9888083455
BAXGAK_clean,0.0028272798,1.1299813818
BAXLOD_clean,0.0004988829,0.2056426923
BAXSIE_clean,0.002245259,0.9344296606
BAYCOU_clean,0.0018726232,0.5659923672
BAZGAM_clean,0.004545377,2.3242274568
BAZGEQ_clean,0.0028503156,1.3481541441
BAZJIX_clean,0.0029345658,1.2495371903
BEDYEQ_clean,0.0025198548,1.2551142571
BEFGEA_manual,0.0029930601,1.3770323403
BEFKUU_clean,0.0021296929,0.9030657113
BEFLUV_clean,0.0030920408,1.1058850304
BEFMAC_clean,0.0028379297,1.1984369849
BEFNEH_clean,0.0682814555,2.5709940969
BEFNIL_clean,0.0041815628,1.6490181697
BEFNOR_clean,0.0027989787,0.9277939867
BEFNUX_clean,0.0037359469,1.0901473469
BEGDEY_clean,0.0089574696,2.2182773382
BEJZAS_clean,0.0026411483,1.1362707485
BEKYOG_clean,0.0006190852,0.2849894477
BELYIC_clean,0.0019093259,0.871995012
BENXUP_clean,0.0031628143,1.1816023024
BENZOL_clean,0.0032009634,1.2306422868
BENZUR_clean,0.0028001027,1.1060084801
BEPBAB_clean,0.0033314331,1.2743760774
