mof_name,base_atoms,core_atoms
ASECUY_clean,460,460
TARWAK_clean,68,68
KOXGIP_clean,300,300
DUTKAG_clean,231,231
QOCRUW_clean,50,50
ESURER_clean,148,148
RITGEI_clean,372,372
FUTYUQ_clean,192,192
JIVHIG_clean,352,352
ZIBRAD_clean,992,992
LIPRAE_clean,440,440
SOYWOT_neutral_b,156,156
XANXUF_clean,196,196
VACFUB01_clean,81,81
NUCYER_clean,156,156
RUDPOW_clean,336,336
XUZDUS_clean,512,512
FUTZEB_clean,76,76
EDAGEX_clean,108,108
KIFKAM_clean,102,102
TUTZUD_clean,272,272
WIYWUY_clean,288,288
NADZID_clean,76,76
OLUROC_clean,522,522
COXHON_clean,80,80
XUNSAC_clean,112,112
MAJJUF_clean,400,400
GITPEG_clean,440,440
YUMFUJ_clean,224,224
YABPAU_clean,168,168
YIBMON01_clean,116,116
KINPUU_clean,142,142
ZEDZAL_clean,294,294
YUGLES_clean,102,102
UZANEP_clean,120,120
ZIJVOF02_clean,136,136
ZAXWAY_clean,62,62
FIVQOR_clean,33,33
ECIWUJ_clean,54,54
LAWGUM_clean,106,106
POLBAT_clean,80,80
WOXRIK_clean,144,144
ICIKAH_clean,2464,2464
RABHIH_clean,148,148
EGATOW_clean,176,176
FOLLEZ_clean,112,112
PEGPUO_clean,208,208
FECXES_clean,324,324
XUDVAV_clean,126,126
KEFWID_clean,110,110
PARHAS_clean,76,76
RASKIH_clean,120,120
REFTON_SL,240,240
XANZAQ08_clean,132,132
TETWUM_clean,204,204
YUBFOR_clean,84,84
RUDQUD01_clean,208,208
RUWWOW01_clean,60,60
LAWGOG_clean,106,106
PIBGAK_clean,136,136
LAVCUJ_clean,28,28
NOMKUX_clean,512,512
RESSAK_clean,73,73
CIRTUU_clean,1296,1296
CAYSOK_clean,219,219
AQALIO_clean,120,120
EVEGER_clean,190,190
TOBKAY_clean,112,112
CIWZIT_clean,808,808
RETVIW_clean,248,248
DUBBEI_clean,200,200
WARFAZ_clean,504,504
HOJNOL_clean,400,400
WOMFEK_clean,136,136
FARYEE_clean,132,132
QAPQEE_clean,232,232
ODOXEK_clean,114,114
QEZLIS_clean,1100,1100
ic502643m_si_003_clean,276,276
NUDMUW_clean,148,148
LAFFEG_clean,738,738
VIWMAR_clean,216,216
AHOKAJ_clean,36,36
cg501560z_si_002_clean,320,320
UMEKEE_clean,192,192
NIXGIM_clean,976,976
XUBJAF_clean,58,58
MIRLAB_clean,80,80
LAFRIV_manual,2640,2640
DADPEG_clean,140,140
NUNWIE_clean,96,96
HIZSEQ_clean,212,212
NECZAY_clean,184,184
XUNGUJ_clean,56,56
EXENAX_clean,104,104
KUMGIK_clean,520,520
XOJPES_clean,32,32
VEHJOJ_clean,238,238
SOZSUX_clean,416,416
LAMFEK_clean,120,120
BADJAU_clean,1200,1200
PUZKUS_clean,112,112
BIGZUO_clean,510,510
ja903726m_si_002_clean,116,116
QALNIA_clean,44,44
LERNEC01_clean,108,108
ZEDROR_clean,260,260
IXURID_clean,114,114
OQUXAB_clean,404,404
GEZRAG_clean,1120,1120
LEPLAV_clean,216,216
WAZCUX_clean,134,134
XUDYEC_clean,184,184
TAKYOV_clean,190,190
MITGUR01_clean,88,88
ROQFUA07_clean,392,392
XIZJEW_clean,180,180
BAXREY_clean,1204,1204
XALPUY_clean,260,260
TAQGOK_clean,312,312
FIJDIM09_clean,102,102
TISGUY_clean,296,296
CIWZEP_clean,804,804
XOLGEM_clean,858,858
NAQQIH_clean,256,256
KACKIL_clean,168,168
RUVKAV_clean,108,108
EKETOF_clean,188,188
EYOCOM_clean,424,424
XALBES_clean,776,776
ROSKER_clean,124,124
VAHSON_clean,60,60
OSAWEL_clean,38,38
OKAYUW_clean,63,63
CUGYOU_clean,232,232
WUNTOP_clean,388,388
HOKGUJ_clean,208,208
XADFAL_clean,80,80
UTULUR_SL_part,392,392
RUGJOU_clean,68,68
YITHOA01_clean,70,70
VEDFIV_clean,228,228
FOQNOQ01_clean,292,292
DIBJEF_clean,388,388
NIFTIH_clean,240,240
IZERAI_clean,266,266
FABFOF_ion_b,62,62
VUNNEZ_clean,88,88
AWAHEM_clean,134,134
MAQBIS_clean,516,516
IJASES01_clean,50,50
EZITUE_clean,488,488
NIKYUC_clean,108,108
KESBUG_clean,664,664
CUWXAV_clean,352,352
XOMDOU_clean,618,618
LITCUO_clean,304,304
GOLYOX_clean,298,298
OGUPIQ_clean,324,324
MUNDOQ_clean,344,344
WOPDEL_clean,212,212
acscombsci.5b00188_5020072_clean,93,93
TIMMEI_clean,1160,1160
HUZYEI_clean,1024,1024
FORPUY_clean,304,304
c5dt01100k_c5dt01100k2_clean,162,162
SOMFAC_clean,108,108
PUBRUA_clean,1008,1008
HUZYAE_clean,992,992
QUPHUF_clean,182,182
HOQMUX_clean,224,224
PUFNUB_clean,178,178
IYEHAX_clean,300,300
XALCOD_clean,2048,2048
TEBFUD_clean,88,88
JETZAK_clean,162,162
PIGXAF_clean,162,162
OPIWEQ_clean,100,100
MATTUX_clean,132,132
USUWUC_clean,84,84
QOFDIA01_clean,592,592
IPOWOA_clean,134,134
NIHBAI01_clean,108,108
NAWXER_clean,240,240
LAMFIO_clean,112,112
KUKZOH_clean,856,856
YUNJIB_clean,80,80
IFEPUG02_clean,360,360
WURNOO_clean,776,776
TAGTED_clean,144,144
PUGSUH_clean,288,288
HOZFEJ_clean,216,216
TAJVIM_clean,464,464
ic401474f_si_002_clean,472,472
SIVGOV_clean,76,76
BINMIW_clean,568,568
BEXSEE_clean,130,130
CEMKOV_clean,372,372
IYEPUZ_clean,282,282
QUGZEZ_clean,292,292
COYTUG_clean,176,176
CAVPEW_manual,516,516
UXABOL_clean,88,88
RETBEZ_clean,388,388
FIHHOV_clean,532,532
