,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_Model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std
506,He,293K,0.1,1,struct+input,qt_then_rd,rf,rf,0.99760924,7.74e-05,0.000410363,7.1e-06,3.2e-07,1.07e-08,2.921131729,0.05651582,50.86397676,0.148725884,0.382128525,0.013689952
509,He,293K,0.1,1,struct+input,random_struct,rf,rf,0.96355802,0.050225607,0.000498898,6.99e-05,1.56e-05,2.38e-05,3.060030069,0.088910954,52.05519557,3.314592172,0.404763842,0.030108693
512,He,293K,0.1,1,struct,random_struct,rf,rf,0.950177077,0.047020419,0.001297095,5.7e-05,2.03e-05,2.31e-05,11.60143038,0.550089646,50.3487082,0.167375455,0.413170528,0.008036027
515,He,293K,0.1,5,struct+input,qt_then_rd,rf,rf,0.997716897,0.000169172,0.001966582,3.11e-05,7.53e-06,3e-07,2.786855302,0.064134883,50.6769443,0.314446542,0.40772686,0.016195742
518,He,293K,0.1,5,struct+input,random_struct,rf,rf,0.965395597,0.048249957,0.00239493,0.000318284,0.000362083,0.000558322,2.943815119,0.088373795,50.62247591,0.258896948,0.403604841,0.004005468
521,He,293K,0.1,5,struct,random_struct,rf,rf,0.954187432,0.045944046,0.006368544,0.000301881,0.000459387,0.000548523,11.34248064,0.400650533,50.14550791,0.219175205,0.447286463,0.034961516
524,He,293K,0.2,15,struct+input,qt_then_rd,rf,rf,0.998408278,6.85e-05,0.004561223,9.57e-05,4.25e-05,1.89e-06,2.124600484,0.031388449,50.65498714,0.821574135,0.407710361,0.033272383
527,He,293K,0.2,15,struct+input,random_struct,rf,rf,0.96535391,0.054802073,0.00594596,0.000926288,0.003234899,0.005557322,2.231390266,0.050797714,50.06901326,0.245777498,0.401721048,0.030768263
530,He,293K,0.2,15,struct,random_struct,rf,rf,0.954168457,0.051996793,0.018598035,0.000861136,0.004070628,0.005426114,11.02482494,0.154529595,50.21201138,0.761801053,0.405052805,0.014953369
533,He,293K,0.2,1,struct+input,qt_then_rd,rf,rf,0.998466717,9.91e-05,0.000317154,5.06e-06,1.92e-07,9.01e-09,2.230523805,0.044828959,50.24780474,0.263983821,0.396751404,0.002916334
536,He,293K,0.2,1,struct+input,random_struct,rf,rf,0.963210515,0.050132598,0.000407444,6.63e-05,1.57e-05,2.38e-05,2.333086737,0.056336103,49.98112621,0.133837108,0.395103407,0.017132298
539,He,293K,0.2,1,struct,random_struct,rf,rf,0.950177077,0.047020419,0.001297095,5.7e-05,2.03e-05,2.31e-05,11.60143038,0.550089646,51.10018649,1.035619881,0.4303936,0.016842511
542,He,293K,0.2,5,struct+input,qt_then_rd,rf,rf,0.998544949,0.000111118,0.001498001,2.3e-05,4.5e-06,2.54e-07,2.101895667,0.037499458,50.15416627,0.111343164,0.384362364,0.011469423
545,He,293K,0.2,5,struct+input,random_struct,rf,rf,0.965673833,0.048149591,0.001945993,0.000287736,0.00035959,0.000556837,2.197238495,0.057880889,50.01433258,0.070063386,0.453685808,0.056356774
548,He,293K,0.2,5,struct,random_struct,rf,rf,0.954187432,0.045944046,0.006368544,0.000301881,0.000459387,0.000548523,11.34248064,0.400650533,50.21662197,0.33866557,0.402278852,0.017181936
551,He,293K,0.35,15,struct+input,qt_then_rd,rf,rf,0.998809601,0.000141898,0.003761616,8.6e-05,3.21e-05,4.15e-06,1.688066623,0.020056956,49.79056339,0.08981402,0.427893829,0.024437694
554,He,293K,0.35,15,struct+input,random_struct,rf,rf,0.965409463,0.054778249,0.005155487,0.000976853,0.003231229,0.005552429,1.816383645,0.042170362,49.50792446,0.200331623,0.395836449,0.01031163
557,He,293K,0.35,15,struct,random_struct,rf,rf,0.954168457,0.051996793,0.018598035,0.000861136,0.004070628,0.005426114,11.02482494,0.154529595,50.19322262,0.615889629,0.402764273,0.009072601
560,He,293K,0.35,1,struct+input,qt_then_rd,rf,rf,0.998953062,3.11e-05,0.000263121,2.61e-06,1.33e-07,3.73e-09,1.828320528,0.017300195,50.03231511,0.142565469,0.393222666,0.022308174
563,He,293K,0.35,1,struct+input,random_struct,rf,rf,0.963209396,0.050090789,0.000361429,6.22e-05,1.57e-05,2.37e-05,1.976223351,0.049073788,49.80445986,0.188478759,0.395821047,0.008990439
566,He,293K,0.35,1,struct,random_struct,rf,rf,0.950177077,0.047020419,0.001297095,5.7e-05,2.03e-05,2.31e-05,11.60143038,0.550089646,50.36062899,0.223013058,0.424571323,0.039978486
569,He,293K,0.35,5,struct+input,qt_then_rd,rf,rf,0.999033845,6.93e-05,0.001198523,2.15e-05,3.03e-06,2.48e-07,1.662478402,0.022618678,49.6811461,0.178119193,0.388310099,0.013262478
572,He,293K,0.35,5,struct+input,random_struct,rf,rf,0.965712469,0.048383913,0.00165198,0.000301121,0.000359565,0.000559034,1.781431892,0.041224279,51.38376994,3.186933777,0.3927145,0.019608869
575,He,293K,0.35,5,struct,random_struct,rf,rf,0.954187432,0.045944046,0.006368544,0.000301881,0.000459387,0.000548523,11.34248064,0.400650533,50.10400643,0.231404123,0.411550331,0.019865558
578,He,293K,0.5,15,struct+input,qt_then_rd,rf,rf,0.998466045,0.001380182,0.003391428,0.000147961,4.24e-05,3.68e-05,1.514454626,0.029910221,49.50294075,0.191950206,0.439801216,0.056876637
581,He,293K,0.5,15,struct+input,random_struct,rf,rf,0.965127428,0.054677588,0.004812727,0.00097628,0.00325286,0.005544484,1.61907311,0.053732927,49.77295513,0.700767724,0.399490738,0.010805199
584,He,293K,0.5,15,struct,random_struct,rf,rf,0.954168457,0.051996793,0.018598035,0.000861136,0.004070628,0.005426114,11.02482494,0.154529595,49.96525559,0.109882844,0.404694176,0.008369872
587,He,293K,0.5,1,struct+input,qt_then_rd,rf,rf,0.99918476,3.64e-05,0.000234129,5.77e-06,1.08e-07,8.23e-09,1.646858083,0.026824506,49.88127012,0.202796564,0.392762089,0.024303927
590,He,293K,0.5,1,struct+input,random_struct,rf,rf,0.963632157,0.05013632,0.000330231,6.48e-05,1.55e-05,2.38e-05,1.75832662,0.052502585,49.82307291,0.70939476,0.407304811,0.032335779
593,He,293K,0.5,1,struct,random_struct,rf,rf,0.950177077,0.047020419,0.001297095,5.7e-05,2.03e-05,2.31e-05,11.60143038,0.550089646,50.29583111,0.111609185,0.44214468,0.03805825
596,He,293K,0.5,5,struct+input,qt_then_rd,rf,rf,0.999077503,0.000545784,0.001053143,2.72e-05,2.98e-06,1.68e-06,1.468032378,0.013505826,49.60304351,0.210971221,0.416419458,0.022920462
599,He,293K,0.5,5,struct+input,random_struct,rf,rf,0.965826495,0.048309435,0.001536245,0.000325872,0.000358332,0.000558166,1.57121086,0.06012802,49.91732879,1.11076834,0.390562868,0.016265874
602,He,293K,0.5,5,struct,random_struct,rf,rf,0.954187432,0.045944046,0.006368544,0.000301881,0.000459387,0.000548523,11.34248064,0.400650533,50.49733949,0.381427118,0.40758481,0.010758186
605,He,313K,0.01,15,struct+input,qt_then_rd,rf,rf,0.988087129,0.000409912,0.0119691,0.000267195,0.00027635,1.66e-05,7.021909544,0.138355252,51.71281061,0.115733808,0.39655757,0.007442073
608,He,313K,0.01,15,struct+input,random_struct,rf,rf,0.959897793,0.054192932,0.012706955,0.000900954,0.003132348,0.004777597,7.263649005,0.126695314,52.34040327,1.329312911,0.413495922,0.012113107
611,He,313K,0.01,15,struct,random_struct,rf,rf,0.954527661,0.052548544,0.016144325,0.000829372,0.003471635,0.004696624,10.52435489,0.089702573,49.72545366,0.200700351,0.40951376,0.019091943
614,He,313K,0.01,1,struct+input,qt_then_rd,rf,rf,0.987809313,0.000327971,0.000829129,1.83e-05,1.32e-06,6.42e-08,7.154173567,0.157699359,52.18648047,0.789221985,0.404104137,0.010364167
617,He,313K,0.01,1,struct+input,random_struct,rf,rf,0.962583957,0.052690353,0.000872677,6.96e-05,1.37e-05,2.16e-05,7.398704939,0.130773064,53.39364462,3.218638727,0.417594576,0.031225221
620,He,313K,0.01,1,struct,random_struct,rf,rf,0.955457236,0.050525618,0.001111762,6.08e-05,1.58e-05,2.11e-05,10.88030602,0.239678988,49.91232967,0.17186078,0.430960655,0.051777463
623,He,313K,0.01,5,struct+input,qt_then_rd,rf,rf,0.988039497,0.000292319,0.004081953,6.83e-05,3.2e-05,1.41e-06,7.080006612,0.124097335,52.03762784,0.865370072,0.404190207,0.044056639
626,He,313K,0.01,5,struct+input,random_struct,rf,rf,0.959413105,0.046406419,0.004356781,0.000316149,0.000352589,0.000462178,7.345247743,0.121693369,51.50786924,0.220504379,0.398999882,0.013055194
629,He,313K,0.01,5,struct,random_struct,rf,rf,0.953806246,0.045242783,0.005510116,0.000289381,0.000394112,0.000457447,10.72029571,0.126990767,50.0224577,0.29714872,0.40454731,0.010450988
632,He,313K,0.05,15,struct+input,qt_then_rd,rf,rf,0.994732529,0.000353741,0.007402701,0.000127879,0.000112774,8.43e-06,4.049504339,0.087387429,52.03760223,0.13363224,0.402146339,0.008497677
635,He,313K,0.05,15,struct+input,random_struct,rf,rf,0.961880054,0.054296727,0.008620382,0.000852201,0.003002848,0.004762446,4.25061579,0.060441752,52.26514564,0.850411686,0.40736146,0.006207543
638,He,313K,0.05,15,struct,random_struct,rf,rf,0.954527661,0.052548544,0.016144325,0.000829372,0.003471635,0.004696624,10.52435489,0.089702573,50.22725587,1.112869769,0.39954567,0.014894974
