Unnamed: 0,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std
211,Ar,293,0.5,5,struct+input,random_struct,gbm,0.951916969,0.027491338,0.071075735,0.003179666,0.032639392,0.020522734,350423379,170693005.7
214,Ar,293,0.5,5,struct,random_struct,gbm,0.482658638,0.019538966,0.375656724,0.011092517,0.341791339,0.026910356,4728665775,3834495954
217,Ar,313,0.01,15,struct+input,qt_then_rd,gbm,0.765551574,0.133467949,0.303084016,0.013547268,0.346832706,0.241425852,11.56577236,0.428748384
220,Ar,313,0.01,15,struct+input,random_struct,gbm,0.788146979,0.104676259,0.305508325,0.009985957,0.394195868,0.255888052,11.85458127,0.458092361
223,Ar,313,0.01,15,struct,random_struct,gbm,0.51281594,0.088106941,0.575598026,0.017728832,0.868856088,0.302695617,26.56547533,0.85043555
226,Ar,313,0.01,1,struct+input,qt_then_rd,gbm,0.989949198,0.001708829,0.00727894,0.000219604,0.000153962,2.89E-05,2.732110658,0.043110197
229,Ar,313,0.01,1,struct+input,random_struct,gbm,0.897628344,0.044634959,0.011990389,0.001392446,0.005778545,0.002415969,3.194813184,0.092671124
232,Ar,313,0.01,1,struct,random_struct,gbm,0.288429112,0.050012097,0.106400644,0.005628256,0.040984423,0.010446562,54.93844014,6.331241829
235,Ar,313,0.01,5,struct+input,qt_then_rd,gbm,0.866847622,0.021017026,0.101331426,0.00263974,0.0291441,0.004464647,8.902777683,0.341117056
238,Ar,313,0.01,5,struct+input,random_struct,gbm,0.839237395,0.049554559,0.113449023,0.003774965,0.066809808,0.030390965,9.670030192,0.388583821
241,Ar,313,0.01,5,struct,random_struct,gbm,0.382015493,0.018856955,0.323415161,0.012310469,0.248777188,0.045300433,37.94313718,2.723153498
244,Ar,313,0.05,15,struct+input,qt_then_rd,gbm,0.837774534,0.031849051,0.297061973,0.004444839,0.203997844,0.044537857,11.45688905,0.119811768
247,Ar,313,0.05,15,struct+input,random_struct,gbm,0.773858916,0.089655922,0.304396161,0.00977373,0.415412522,0.232912625,11.8039108,0.461732202
250,Ar,313,0.05,15,struct,random_struct,gbm,0.51281594,0.088106941,0.575598026,0.017728832,0.868856088,0.302695617,26.56547533,0.85043555
253,Ar,313,0.05,1,struct+input,qt_then_rd,gbm,0.994862885,0.000672512,0.00482839,0.000143499,6.74E-05,1.04E-05,1.795233084,0.036041849
256,Ar,313,0.05,1,struct+input,random_struct,gbm,0.948884732,0.030431769,0.009420844,0.001662189,0.003148848,0.002646338,2.235355875,0.088232114
259,Ar,313,0.05,1,struct,random_struct,gbm,0.288429112,0.050012097,0.106400644,0.005628256,0.040984423,0.010446562,54.93844014,6.331241829
262,Ar,313,0.05,5,struct+input,qt_then_rd,gbm,0.883048759,0.010527729,0.093724221,0.00439457,0.025079613,0.002594237,8.263286259,0.305916319
265,Ar,313,0.05,5,struct+input,random_struct,gbm,0.849861174,0.053483394,0.109365842,0.003455445,0.062783358,0.031465246,9.273370511,0.392947056
268,Ar,313,0.05,5,struct,random_struct,gbm,0.382015493,0.018856955,0.323415161,0.012310469,0.248777188,0.045300433,37.94313718,2.723153498
271,Ar,313,0.1,15,struct+input,qt_then_rd,gbm,0.693917225,0.151999149,0.303834956,0.018362387,0.550325518,0.378548833,10.98584215,0.288089242
274,Ar,313,0.1,15,struct+input,random_struct,gbm,0.790372638,0.103678066,0.303648549,0.01026859,0.390211098,0.253104189,11.77096938,0.52616563
277,Ar,313,0.1,15,struct,random_struct,gbm,0.51281594,0.088106941,0.575598026,0.017728832,0.868856088,0.302695617,26.56547533,0.85043555
280,Ar,313,0.1,1,struct+input,qt_then_rd,gbm,0.994312345,0.000900483,0.00463388,0.00012708,8.43E-05,1.48E-05,1.622494107,0.035038513
283,Ar,313,0.1,1,struct+input,random_struct,gbm,0.965445914,0.029957244,0.008242955,0.001613955,0.002233535,0.002552311,1.973535224,0.076923377
286,Ar,313,0.1,1,struct,random_struct,gbm,0.288429112,0.050012097,0.106400644,0.005628256,0.040984423,0.010446562,54.93844014,6.331241829
289,Ar,313,0.1,5,struct+input,qt_then_rd,gbm,0.811469993,0.091378972,0.098193239,0.003810238,0.0482299,0.02896049,8.194716769,0.179808618
292,Ar,313,0.1,5,struct+input,random_struct,gbm,0.851217282,0.054156533,0.107692308,0.004065561,0.062323906,0.031819672,9.10256824,0.384415789
295,Ar,313,0.1,5,struct,random_struct,gbm,0.382015493,0.018856955,0.323415161,0.012310469,0.248777188,0.045300433,37.94313718,2.723153498
298,Ar,313,0.5,15,struct+input,qt_then_rd,gbm,0.668477458,0.080160824,0.297872855,0.003037246,0.500100016,0.194468281,10.97650373,0.38920429
301,Ar,313,0.5,15,struct+input,random_struct,gbm,0.75966404,0.078721103,0.300209342,0.013228076,0.437306382,0.211691757,11.60565453,0.638442065
304,Ar,313,0.5,15,struct,random_struct,gbm,0.51281594,0.088106941,0.575598026,0.017728832,0.868856088,0.302695617,26.56547533,0.85043555
307,Ar,313,0.5,1,struct+input,qt_then_rd,gbm,0.997707655,0.000123902,0.003334031,4.47E-05,3.12E-05,1.10E-06,1.182660497,0.020454021
310,Ar,313,0.5,1,struct+input,random_struct,gbm,0.989512752,0.01397513,0.005251939,0.000890043,0.000732361,0.001141317,1.346860424,0.045304878
313,Ar,313,0.5,1,struct,random_struct,gbm,0.288429112,0.050012097,0.106400644,0.005628256,0.040984423,0.010446562,54.93844014,6.331241829
316,Ar,313,0.5,5,struct+input,qt_then_rd,gbm,0.804753258,0.090647648,0.096933929,0.002572343,0.046768823,0.027602188,8.177359879,0.18915799
319,Ar,313,0.5,5,struct+input,random_struct,gbm,0.863340885,0.049098926,0.103948695,0.002962408,0.057200024,0.028810688,8.870164081,0.355080352
322,Ar,313,0.5,5,struct,random_struct,gbm,0.382015493,0.018856955,0.323415161,0.012310469,0.248777188,0.045300433,37.94313718,2.723153498
325,H2,293,0.01,5,struct+input,qt_then_rd,gbm,0.982101671,0.001601582,0.034655366,0.001197996,0.00264722,0.000282697,3.791022826,0.126307652
328,H2,293,0.01,5,struct+input,random_struct,gbm,0.903307684,0.038921134,0.044779375,0.003604358,0.034222888,0.018405192,4.371282149,0.171032285
331,H2,293,0.01,5,struct,random_struct,gbm,-0.13743303,0.424873984,0.278285843,0.006158692,0.401370169,0.181511603,41.00737872,2.104317616
334,He,273,0.01,15,struct+input,qt_then_rd,gbm,-1.440559262,2.961054476,0.040844409,0.012473752,0.422382597,0.390825409,9.826233559,2.318989021
337,He,273,0.01,15,struct+input,random_struct,gbm,-0.053589537,0.858762102,0.032581704,0.006308388,0.246437118,0.240554974,8.592801766,0.909071996
340,He,273,0.01,15,struct,random_struct,gbm,-0.206965996,1.098116994,0.041217731,0.007626842,0.267390855,0.261537716,14.76657379,1.402870716
343,He,273,0.01,1,struct+input,qt_then_rd,gbm,-1.581044869,3.231846614,0.002798823,0.000827949,0.001938449,0.001717497,10.03588654,2.429574795
346,He,273,0.01,1,struct+input,random_struct,gbm,-0.06285183,0.83637762,0.002304867,0.000441629,0.001155127,0.001083189,8.929806261,1.122096593
349,He,273,0.01,1,struct,random_struct,gbm,-0.327400824,1.030459149,0.00296383,0.000534385,0.001308308,0.001135378,15.2207442,1.691910396
352,He,273,0.01,5,struct+input,qt_then_rd,gbm,-1.273705703,2.570034721,0.013825101,0.004158638,0.04631436,0.042586153,9.882033988,2.52985093
355,He,273,0.01,5,struct+input,random_struct,gbm,0.004348699,0.907677754,0.011031598,0.002371982,0.027623058,0.02771174,8.653403425,0.913255676
358,He,273,0.01,5,struct,random_struct,gbm,-0.189342907,0.944886447,0.014227197,0.00208885,0.03025743,0.027441734,14.9347891,1.202259336
361,He,273,0.05,15,struct+input,qt_then_rd,gbm,-0.228077616,0.816438636,0.022915897,0.007894303,0.094335092,0.075919059,8.477709363,3.444148464
364,He,273,0.05,15,struct+input,random_struct,gbm,-0.424824646,0.892870766,0.029620006,0.00536712,0.293198587,0.221992976,7.485794699,3.092314701
367,He,273,0.05,15,struct,random_struct,gbm,-0.206965996,1.098116994,0.041217731,0.007626842,0.267390855,0.261537716,14.76657379,1.402870716
370,He,273,0.05,1,struct+input,qt_then_rd,gbm,-0.105488045,0.779581789,0.001519145,0.000522441,0.000412595,0.000343619,8.150340559,3.287933949
373,He,273,0.05,1,struct+input,random_struct,gbm,-0.692298936,0.896810055,0.002175439,0.000498474,0.001544246,0.000930218,8.444055486,3.873749248
376,He,273,0.05,1,struct,random_struct,gbm,-0.327400824,1.030459149,0.00296383,0.000534385,0.001308308,0.001135378,15.2207442,1.691910396
379,He,273,0.05,5,struct+input,qt_then_rd,gbm,-0.140193021,0.662253779,0.007591325,0.002262015,0.0101287,0.007872998,8.22812207,2.928696683
382,He,273,0.05,5,struct+input,random_struct,gbm,-0.41787121,0.939616613,0.010323414,0.002250054,0.033657787,0.024864479,8.005345326,3.445247661
385,He,273,0.05,5,struct,random_struct,gbm,-0.189342907,0.944886447,0.014227197,0.00208885,0.03025743,0.027441734,14.9347891,1.202259336
388,He,273,0.1,15,struct+input,qt_then_rd,gbm,-0.412772067,1.425837387,0.016599968,0.005271893,0.046455929,0.046657431,5.814645945,2.24527867
391,He,273,0.1,15,struct+input,random_struct,gbm,-0.020930218,1.03810528,0.024898317,0.007882144,0.249479034,0.256728249,4.779415521,0.801578848
394,He,273,0.1,15,struct,random_struct,gbm,-0.206965996,1.098116994,0.041217731,0.007626842,0.267390855,0.261537716,14.76657379,1.402870716
397,He,273,0.1,1,struct+input,qt_then_rd,gbm,-0.358629787,1.425592723,0.001152201,0.000355073,0.000211891,0.000221504,5.937070986,2.260239584
400,He,273,0.1,1,struct+input,random_struct,gbm,-0.13872075,1.003449484,0.001772669,0.000516125,0.001226067,0.001145744,5.128955336,0.946975255
403,He,273,0.1,1,struct,random_struct,gbm,-0.327400824,1.030459149,0.00296383,0.000534385,0.001308308,0.001135378,15.2207442,1.691910396
406,He,273,0.1,5,struct+input,qt_then_rd,gbm,-0.201321923,1.175061513,0.005462833,0.001704628,0.00463154,0.004515922,5.687295286,1.959618886
409,He,273,0.1,5,struct+input,random_struct,gbm,0.025703368,0.982613644,0.008191471,0.002638112,0.027434794,0.028703366,4.61852205,0.671880207
412,He,273,0.1,5,struct,random_struct,gbm,-0.189342907,0.944886447,0.014227197,0.00208885,0.03025743,0.027441734,14.9347891,1.202259336
415,He,273,0.5,15,struct+input,qt_then_rd,gbm,-0.365674108,1.402196119,0.024487275,0.009606225,0.341425742,0.278791607,3.831814104,1.428645446
418,He,273,0.5,15,struct+input,random_struct,gbm,-0.19863418,1.157783724,0.025027746,0.010306774,0.278280955,0.259945433,3.784916886,1.046510934
421,He,273,0.5,15,struct,random_struct,gbm,-0.206965996,1.098116994,0.041217731,0.007626842,0.267390855,0.261537716,14.76657379,1.402870716
424,He,273,0.5,1,struct+input,qt_then_rd,gbm,-0.447103999,1.539197185,0.001704715,0.000678003,0.001616025,0.001284866,3.994346759,1.500379593
427,He,273,0.5,1,struct+input,random_struct,gbm,-0.140767371,1.127159893,0.001637579,0.000697058,0.001229923,0.001212057,3.636060071,0.969815949
430,He,273,0.5,1,struct,random_struct,gbm,-0.327400824,1.030459149,0.00296383,0.000534385,0.001308308,0.001135378,15.2207442,1.691910396
