,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_Model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std
87,Ar,273K,0.5,15,struct,random_struct,cat,cat,0.748705215,0.021054013,0.621909662,0.026885986,0.816039259,0.097602696,19.97845107,0.841979153,3.223184299,0.071323563,0.002299309,7.32E-05
88,Ar,273K,0.5,15,struct,random_struct,gbm,gbm,0.729446691,0.019103841,0.640355406,0.025071576,0.878083738,0.090985806,20.35820694,0.729765232,13.74689574,0.037937394,0.011798191,0.000157632
89,Ar,273K,0.5,15,struct,random_struct,rf,rf,0.749882165,0.023035702,0.593342937,0.027173307,0.812208025,0.102706166,19.06611944,0.805383508,37.43523989,1.103169416,0.291057205,0.01164893
90,Ar,273K,0.5,1,struct+input,qt_then_rd,cat,cat,0.993972309,0.000790887,0.011913415,0.000262986,0.000419947,6.80E-05,2.161491753,0.071034665,3.506713009,0.035876466,0.002320719,3.54E-05
91,Ar,273K,0.5,1,struct+input,qt_then_rd,gbm,gbm,0.994936359,0.000644963,0.010397881,0.000405133,0.000351639,4.55E-05,1.726668847,0.032453044,15.51106911,0.064555965,0.012001991,0.000179186
92,Ar,273K,0.5,1,struct+input,qt_then_rd,rf,rf,0.993967401,0.000699102,0.010835099,0.000309513,0.000418473,4.35E-05,1.77494117,0.027488617,36.75542879,0.457504292,0.294408703,0.020895226
93,Ar,273K,0.5,1,struct+input,random_struct,cat,cat,0.985716601,0.009422443,0.016425068,0.001113532,0.003356935,0.00249038,2.649693788,0.189548285,3.580981398,0.105811483,0.002323246,5.62E-05
94,Ar,273K,0.5,1,struct+input,random_struct,gbm,gbm,0.992884881,0.003440497,0.014101744,0.000916151,0.001657906,0.000950506,1.929634928,0.064740768,15.42974148,0.042616282,0.012526846,9.71E-05
95,Ar,273K,0.5,1,struct+input,random_struct,rf,rf,0.991700259,0.003958578,0.014588225,0.00098086,0.00194092,0.001112315,1.91376921,0.095565631,37.84372349,2.479913759,0.294564676,0.010457101
96,Ar,273K,0.5,1,struct,random_struct,cat,cat,0.392269983,0.037119813,0.212007605,0.007552143,0.137685404,0.024460617,53.26237275,4.207201506,3.246724939,0.072327636,0.00223918,3.93E-05
