folder,mean,std,count,GAS,TEMP,SAMPLING,MODEL,TRAIN_RATIO,QT_FRAC,LOW,HIGH
./try09_all\Ar_293_0.01_to_1__struct__random_struct__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9368265293835076,0.026558358698724,5,Ar,293,random_struct,cat,RATIO0.8,0.8,0.01,1
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9366580419712338,0.0024464496151428,5,Ar,293,qt_then_rd,cat,RATIO0.05,0.05,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9538461351946572,0.0018330615827457,5,Ar,293,qt_then_rd,cat,RATIO0.15,0.15,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9494455725440144,0.003386424194968,5,Ar,293,qt_then_rd,cat,RATIO0.1,0.1,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9570615145498113,0.0013266968687873,5,Ar,293,qt_then_rd,cat,RATIO0.25,0.25,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9561746543994076,0.0022451698409366,5,Ar,293,qt_then_rd,cat,RATIO0.2,0.2,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9594330704736004,0.0014388497129172,5,Ar,293,qt_then_rd,cat,RATIO0.35,0.35,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.957905749576616,0.0007870428778352,5,Ar,293,qt_then_rd,cat,RATIO0.3,0.3,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9598404340747454,0.0011848807682272,5,Ar,293,qt_then_rd,cat,RATIO0.45,0.45,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9590837721255522,0.0013294886813887,5,Ar,293,qt_then_rd,cat,RATIO0.4,0.4,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.960030439664504,0.0020460593204438,5,Ar,293,qt_then_rd,cat,RATIO0.55,0.55,0.01,5
