folder,filename,num_atoms,a,b,c,aspect_ratio_ab,aspect_ratio_ac,aspect_ratio_bc
,AYUPOZ_clean.cif,44,8.9098,10.8722,10.8722,0.8195029524843179,0.8195029524843179,1.0
,DICVIW_clean.cif,244,8.0794,16.6042,26.8003,0.486587730815095,0.3014667746256572,0.6195527662003784
,BAFKUR_clean.cif,110,9.666000000000002,11.358,13.671,0.8510301109350239,0.7070441079657671,0.8308097432521396
,KAHYUP_clean.cif,128,16.302,17.255505845961164,17.701872613727616,0.944741936024765,0.9209195182750309,0.9747842063093201
,ZEHCAQ01_clean.cif,52,9.585028533343028,9.58502853334303,11.8358,0.9999999999999998,0.8098336008840152,0.8098336008840153
,OQUFAJ04_clean.cif,364,14.571,24.3936,24.3936,0.5973288075560803,0.5973288075560803,1.0
,VEQBOJ_charged.cif,376,10.547,22.651,24.627,0.4656306564831575,0.4282697851951111,0.9197628618995412
,GANBAZ02_clean.cif,200,16.2752,16.2752,17.4231,1.0,0.9341162020535956,0.9341162020535956
,XACSIG_clean.cif,188,13.450504116946695,13.450504116946696,16.425,0.9999999999999999,0.8189043602402858,0.8189043602402859
,PAMVEG_clean.cif,188,6.5568,15.078,20.543,0.43485873458018304,0.31917441464245727,0.733972642749355
,MIGVON_clean.cif,500,13.699,21.594,22.22,0.6343891821802352,0.6165166516651666,0.971827182718272
,HELDOT_clean.cif,297,13.143,25.472000000000005,25.471999999999998,0.5159783291457286,0.5159783291457287,1.0000000000000002
,POKTIU_clean.cif,118,6.061700000000001,12.362883571287249,23.528,0.49031441289945304,0.2576377082624958,0.5254540790244495
,NIHBAI01_clean.cif,108,9.8451,11.380599999999998,14.70698189412995,0.8650774124387117,0.6694167485124538,0.7738229421865527
,GUHGOH_clean.cif,88,9.5382,10.299170559443125,15.372369126392758,0.9261134132063281,0.620476903825052,0.6699793945072865
,ELOZUC_clean.cif,440,15.8381,16.5226,23.5796,0.9585718954643943,0.6716865426046243,0.7007158730427998
,cg200615s_si_002_clean.cif,62,7.136399999999999,11.4297,11.7485,0.6243733431323656,0.6074307358386176,0.9728646210154488
,UYAMIS_clean.cif,326,14.3108,16.219420680853556,26.1788,0.8823249782831878,0.5466560728528428,0.6195631839829769
,IYAJUP_clean.cif,204,16.329587622548832,16.329587622548832,17.7174,1.0,0.9216695238888793,0.9216695238888793
,KEJQAR01_clean.cif,69,14.523679034166927,14.523679034166927,14.523679034166927,1.0,1.0,1.0
,XAPGOK_clean.cif,52,6.843,10.978,12.687,0.623337584259428,0.5393710096949633,0.865295184046662
,LUSHOX_clean.cif,136,10.1978,13.502,17.707,0.7552806991556806,0.5759191280284633,0.7625232958716892
,XULVAD_clean.cif,69,8.9036,11.1229,13.851,0.8004746963471757,0.6428127933001228,0.8030394917334488
,NIKYUC02_clean.cif,108,10.0853,11.52,14.9596,0.8754600694444445,0.6741690954303591,0.7700740661515013
,IQOKIK_clean.cif,327,13.735999999999999,22.639999999999997,23.01,0.606713780918728,0.5969578444154714,0.9839200347674922
,GISWEM_clean.cif,176,11.743664047051071,11.743664047051073,16.74,0.9999999999999999,0.7015330971954046,0.7015330971954047
,OVICUS_clean.cif,108,11.174,12.836500000000001,12.8365,0.8704865033303469,0.870486503330347,1.0000000000000002
