---- START at 2025-09-08 15:20:53, Target=369/369 ----
[134/369] NIMWUD_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3642.5s, Completed=122/369, ETA=2025-09-09 16:40:22
[140/369] RUWXAJ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3504.1s, Completed=123/369, ETA=2025-09-09 17:02:50
[133/369] ULUPUM01_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4723.6s, Completed=124/369, ETA=2025-09-09 16:59:50
[131/369] HUTZEB_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5593.3s, Completed=125/369, ETA=2025-09-09 16:53:58
[128/369] HOXSIY_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=7010.9s, Completed=126/369, ETA=2025-09-09 17:07:09
[126/369] LAGNUE_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=7873.1s, Completed=127/369, ETA=2025-09-09 16:54:59
[143/369] VAZMOA_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4444.8s, Completed=128/369, ETA=2025-09-09 17:06:43
[142/369] ZNGLUD01_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4730.8s, Completed=129/369, ETA=2025-09-09 17:02:54
[145/369] LUYHAP_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4365.2s, Completed=130/369, ETA=2025-09-09 17:01:32
[137/369] CUTBOK_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5715.6s, Completed=131/369, ETA=2025-09-09 16:57:45
[139/369] QONKUB_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5631.2s, Completed=132/369, ETA=2025-09-09 16:48:04
[132/369] TAVCIF_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=6563.5s, Completed=133/369, ETA=2025-09-09 16:39:46
[153/369] UMUXEG_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2319.2s, Completed=134/369, ETA=2025-09-09 16:57:26
[91/369] TOBJUR_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=17404.7s, Completed=135/369, ETA=2025-09-09 16:50:21
[104/369] TONQOD_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=14872.8s, Completed=136/369, ETA=2025-09-09 16:46:28
[125/369] YEKXOD_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=10689.2s, Completed=137/369, ETA=2025-09-09 16:45:26
[123/369] IKETOI_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=11218.0s, Completed=138/369, ETA=2025-09-09 16:46:50
[156/369] WEVQOD01_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2151.4s, Completed=139/369, ETA=2025-09-09 16:39:34
[136/369] DAFYER_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=8025.5s, Completed=140/369, ETA=2025-09-09 16:51:35
[149/369] ZOHBUV_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5044.8s, Completed=141/369, ETA=2025-09-09 16:47:01
[138/369] YEDKOI_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=7983.6s, Completed=142/369, ETA=2025-09-09 16:38:56
[148/369] WEBREC_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=6044.8s, Completed=143/369, ETA=2025-09-09 16:51:11
[146/369] XUGDOU_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=7272.1s, Completed=144/369, ETA=2025-09-09 16:48:34
[127/369] ALAMUW_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=12082.4s, Completed=145/369, ETA=2025-09-09 16:44:07
[135/369] YORGOD_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=9926.7s, Completed=146/369, ETA=2025-09-09 17:03:30
[160/369] PAKXIK_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4112.4s, Completed=147/369, ETA=2025-09-09 17:04:17
[173/369] YEMLOS_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=1129.1s, Completed=148/369, ETA=2025-09-09 17:00:10
[154/369] CDLGLU01_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5606.1s, Completed=149/369, ETA=2025-09-09 16:59:51
[171/369] GUKXIU_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=1830.4s, Completed=150/369, ETA=2025-09-09 16:54:49
[151/369] METYIU_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=6671.4s, Completed=151/369, ETA=2025-09-09 16:48:37
[144/369] TUMROK_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=9612.2s, Completed=152/369, ETA=2025-09-09 16:46:31
[130/369] SAKRAZ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=12876.0s, Completed=153/369, ETA=2025-09-09 16:36:41
[157/369] TOXHAR_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5653.1s, Completed=154/369, ETA=2025-09-09 16:38:20
[159/369] ELIJOZ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5296.8s, Completed=155/369, ETA=2025-09-09 16:29:57
[169/369] RESWUI02_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4273.5s, Completed=156/369, ETA=2025-09-09 17:08:45
[152/369] FAPXOM_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=8569.3s, Completed=157/369, ETA=2025-09-09 17:12:02
[170/369] IJEXUR_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4599.3s, Completed=158/369, ETA=2025-09-09 17:04:14
[182/369] UNIPAJ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2036.5s, Completed=159/369, ETA=2025-09-09 17:09:23
[141/369] LEZLAF_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=12823.5s, Completed=160/369, ETA=2025-09-09 17:04:29
[179/369] KUGQIN_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2741.8s, Completed=161/369, ETA=2025-09-09 16:58:28
[166/369] AHOKIR_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=6282.0s, Completed=162/369, ETA=2025-09-09 16:59:15
[163/369] JAJLEO_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=7062.3s, Completed=163/369, ETA=2025-09-09 16:54:05
[147/369] QOSJUF_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=11955.5s, Completed=164/369, ETA=2025-09-09 17:04:00
[180/369] NORJEL_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3478.0s, Completed=165/369, ETA=2025-09-09 16:55:57
[150/369] DEJJIN_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=11172.5s, Completed=166/369, ETA=2025-09-09 16:51:32
[176/369] ASOVEL_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4361.2s, Completed=167/369, ETA=2025-09-09 16:45:38
[158/369] YICREI_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=8902.8s, Completed=168/369, ETA=2025-09-09 16:38:57
[155/369] HOQMIL01_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=10975.4s, Completed=169/369, ETA=2025-09-09 17:13:07
[164/369] KAJZIH_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=8932.6s, Completed=170/369, ETA=2025-09-09 17:04:30
[187/369] GURZID_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2721.0s, Completed=171/369, ETA=2025-09-09 16:58:34
[162/369] QUFTAM_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=9743.2s, Completed=172/369, ETA=2025-09-09 17:06:21
[161/369] EXEXAH_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=10513.8s, Completed=173/369, ETA=2025-09-09 17:02:20
