GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
He,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.65,0.65,0.9824667756708415,0.00048506407162696673,0.0009231824951162799,1.8453965743336254e-05
He,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.15,0.15,0.915085285635568,0.021680538645062246,0.00117440083191058,4.995818329206432e-05
He,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.6,0.6,0.9585426434869946,0.038962533825972215,0.0050479601387823205,0.00019985167679767055
He,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.35,0.35,0.9211888959302577,0.00871760329072982,0.0010949595835780001,2.2584131583173857e-05
He,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.4,0.4,0.9272172939224012,0.027897398992977045,0.01563224521227572,0.00023976209355930098
Ar,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.6,0.6,0.9576927661053846,0.000526966645807898,0.18891462020565541,0.0009482099478934637
He,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.25,0.25,0.988922257987765,0.0006132579589307724,0.00495514599494974,4.5497097791215e-05
Ar,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.1,0.1,0.9494455725440147,0.003028909880239443,0.0969741034508014,0.0015915147960627722
He,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.4,0.4,0.9870426137651943,0.0005428149059543187,0.013851352356584,8.204466274219538e-05
He,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.05,0.05,0.8836085580116844,0.021404240799002307,0.00145029084536252,4.5054377179450446e-05
He,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.05,0.05,0.9529774251096402,0.02146251734901349,0.00136325118255302,4.0915855347364325e-05
Ar,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.65,0.65,0.9577405804223933,0.0033333404004044225,0.08300028460099608,0.0014734423221963054
Ar,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.35,0.35,0.9158312917520103,0.01753650766090728,0.02203078590721366,0.0006696302777194069
Ar,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.15,0.15,0.9678216269244683,0.0037555811720732008,0.02066033057565114,0.0005200919473275263
He,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.7,0.7,0.9724945440712534,0.03742983420613703,0.0009884752075181602,4.887707861092054e-05
Ar,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.05,0.05,0.9265573289391164,0.012261590761035168,0.0297582555259992,0.0017206851543336555
He,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.3,0.3,0.9880673957735094,0.0009539684247285532,0.00485677733870974,6.132706641349114e-05
He,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,0.8,0.9793658597402336,0.0009442056152695708,0.012979259981578459,0.00018418134063080395
Ar,293,0.01,5,struct+input,random_struct__cat_TRAIN_RATIO0.6,0.6,0.9560119263020039,0.0031700033534113213,0.0837082184147548,0.0008582916424710468
He,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.75,0.75,0.9792428454505078,0.0006677046529954026,0.00092736265510496,9.144075124764214e-06
He,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.3,0.3,0.9882362203806544,0.0008291018994185934,0.0142738889954937,0.00018426404838207367
Ar,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.7,0.7,0.9413918069621829,0.02427670681058665,0.01924716887339668,0.0015939537552719322
Ar,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.35,0.35,0.9494532205599755,0.0047965043392215224,0.08816407645971283,0.0007658859187675306
Ar,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.35,0.35,0.9594330704736003,0.00128694630699557,0.08044345645490274,0.0007775693625057414
Ar,293,0.01,5,struct+input,random_struct__cat_TRAIN_RATIO0.25,0.25,0.9480317705422738,0.00302754950335007,0.08982161140094934,0.00076766020786309
He,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.4,0.4,0.9286018245193951,0.02535375671318748,0.00108270561319356,1.7531563993637917e-05
Ar,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.75,0.75,0.9655723949831112,0.0023101591240502622,0.18165052423429467,0.0026539455797920026
Ar,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.45,0.45,0.9611070033027375,0.0026735527910057406,0.19074643920826354,0.001447337715945731
He,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.7,0.7,0.9728511455643286,0.035677331058161024,0.00490273528592746,0.00022969361258136245
Ar,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.55,0.55,0.9274319733316119,0.014191885381924039,0.020540769374788638,0.0008058125182374364
Ar,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.6,0.6,0.9374817816375604,0.017945449106466765,0.020038705729945,0.0007691949751527517
He,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.05,0.05,0.9545977768079104,0.019597595243296996,0.00673752875030312,0.00011581464961413924
Ar,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.15,0.15,0.8907472167724547,0.01581214624287881,0.02431689394822268,0.001054958912393083
Ar,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.45,0.45,0.9549500994468902,0.0033923053114215257,0.19399691717217266,0.001951412087602625
He,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.8,0.8,0.9645283160225725,0.0475010613958902,0.00486052557854406,0.00029256432511466613
Ar,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.7,0.7,0.985496116313155,0.0002411039944933782,0.012203387169667599,6.335379095234415e-05
He,293,0.01,5,struct+input,random_struct__cat_TRAIN_RATIO0.65,0.65,0.974292239432953,0.032782029484547816,0.004930129657614939,0.0002442876906827892
Ar,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.05,0.05,0.9280605354590415,0.007568853567996403,0.2512009093508928,0.005139142637418721
He,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.25,0.25,0.9219074135754532,0.014487928893308168,0.0055198266935387996,0.00014445171536491924
He,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.05,0.05,0.9546205734695494,0.023266357048496857,0.01930533289600944,0.000678006782498551
He,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.1,0.1,0.8991078016041089,0.01608005980940276,0.01850390441867298,0.0006826343662817161
Ar,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.75,0.75,0.9421135173561195,0.020873464168338265,0.01908266108675246,0.0009794267245418849
Ar,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.8,0.8,0.9368265293835079,0.023754518168467936,0.019413373179285282,0.0014878486750382154
Ar,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.25,0.25,0.9079180113333344,0.010774370538911176,0.02255758172045458,0.0007041423711700444
Ar,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.7,0.7,0.9413918069621829,0.02427670681058665,0.01924716887339668,0.0015939537552719322
Ar,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.65,0.65,0.9386453869365902,0.018260439600786733,0.01964598634359064,0.0010850432780166502
Ar,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.65,0.65,0.9640901330891907,0.0011170573038303505,0.18463284486086168,0.0014384671725481328
He,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.1,0.1,0.9782811709502136,0.020062065917309548,0.0168763040719948,0.0005812935792486898
Ar,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.05,0.05,0.8042121488461328,0.05486032228618224,0.0333704971750718,0.0035736350521951383
He,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.8,0.8,0.9618747910686475,0.05541276987904859,0.014309284792262738,0.0009120531340917274
He,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.05,0.05,0.8836085580116844,0.021404240799002307,0.00145029084536252,4.5054377179450446e-05
He,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.75,0.75,0.9686485443847825,0.040889489589007066,0.00490734609579618,0.00026326654850884746
He,293,0.01,5,struct+input,random_struct__cat_TRAIN_RATIO0.7,0.7,0.9728511455643286,0.035677331058161024,0.00490273528592746,0.00022969361258136245
He,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.45,0.45,0.9258461353583106,0.02904738844810098,0.0010716154898152,1.702875795204161e-05
Ar,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.25,0.25,0.9523329923940771,0.004014202282698315,0.20417353358268148,0.0023707123556168655
Ar,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.4,0.4,0.9247418632100356,0.00590264827772575,0.021417186241111198,0.0005543704390479799
He,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.5,0.5,0.9169787592404033,0.02891929832055994,0.01570341478344036,0.00029615151133248463
He,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.45,0.45,0.9862585848742956,0.0003087437058786419,0.013698266623614461,6.752709103001009e-05
Ar,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.55,0.55,0.9857147618168917,0.0009593725729506978,0.0129134550593515,0.00013084335279660455
Ar,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.4,0.4,0.959910156974755,0.002359827090136501,0.1925995550364748,0.0013331815532063257
Ar,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.2,0.2,0.9435207711981732,0.004408583425588451,0.09206918281725562,0.0011779991284142893
He,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.05,0.05,0.884357249186011,0.021475872866530892,0.02104500420400768,0.0006277351735529622
He,293,0.01,5,struct+input,random_struct__cat_TRAIN_RATIO0.15,0.15,0.9180854676465021,0.021445081806458693,0.00575912939020134,0.00020902719297378325
He,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.5,0.5,0.9198827379622878,0.026562931517288668,0.00107854184365518,1.4106792070787436e-05
He,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.55,0.55,0.9321631440092503,0.04191764830010287,0.00106167781832822,3.742521628548465e-05
He,293,0.01,1,struct+input,random_struct__cat_TRAIN_RATIO0.45,0.45,0.9258461353583106,0.02904738844810098,0.0010716154898152,1.702875795204161e-05
He,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.1,0.1,0.900290458708916,0.01652062807038378,0.00128035947486888,5.5823921763264726e-05
He,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.6,0.6,0.9558576206540454,0.04273882119094697,0.014834142775582601,0.0006660249500659745
