folder,mean,std,count
./try09_all\Ar_293_0.01_to_5__struct__random_struct__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.5616129782653845,0.018514421959753863,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9546205734695494,0.026012577974610162,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9883580830550402,0.0010999510150406675,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9782811709502136,0.022430071580092907,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9889604686406195,0.0004709807915768473,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9895057042061852,0.0006463117912171474,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9877641811185102,0.0006150306131314923,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9882362203806544,0.0009269641036871169,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9862585848742956,0.0003451859569849279,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9870426137651943,0.0006068855144569555,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9846748016009983,0.0002014283643026154,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9852788394721271,0.00017013530600057332,5
