GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_STD_HIGH_1,MAE_MEAN_HIGH_1,MAE_STD_HIGH_1,INPUT_HIGH_1
Ar,293,0.1,qt_then_rd__gbm_TRAIN_RATIO0.1,0.01,0.9599402737773322,0.0050886976871945,0.0184266061663598,0.0001926514951534,struct+input
Ar,293,0.1,qt_then_rd__rf_TRAIN_RATIO0.1,0.01,0.9577622182160176,0.0073954583217505,0.0185161822359832,0.0003658195873573,struct+input
Ar,293,0.1,random_struct__cat_TRAIN_RATIO0.1,0.01,0.8610108315645263,0.0348250520525073,0.0272050062982526,0.0019514406020495,struct+input
Ar,293,0.1,random_struct__gbm_TRAIN_RATIO0.1,0.01,0.8730557407883159,0.0258855768260614,0.0256984034195419,0.0013274857619505,struct+input
Ar,293,0.1,random_struct__rf_TRAIN_RATIO0.1,0.01,0.8849532423498261,0.0209988856655991,0.02526084241248,0.001286643129239,struct+input
Ar,293,0.15,qt_then_rd__cat_TRAIN_RATIO0.15,0.01,0.9678216269244684,0.0037555811720732,0.0206603305756511,0.0005200919473275,struct+input
Ar,293,0.15,qt_then_rd__gbm_TRAIN_RATIO0.15,0.01,0.9689238860262424,0.0026794536919786,0.0165855903836533,0.0002465978277865,struct+input
Ar,293,0.15,qt_then_rd__rf_TRAIN_RATIO0.15,0.01,0.9671937308291152,0.0029222990223402,0.0165189871698108,0.0002112341949074,struct+input
Ar,293,0.15,random_struct__cat_TRAIN_RATIO0.15,0.01,0.8907472167724547,0.0158121462428788,0.0243168939482226,0.001054958912393,struct+input
Ar,293,0.15,random_struct__gbm_TRAIN_RATIO0.15,0.01,0.8998467491186268,0.0103558171570517,0.0234804450311678,0.0005793398936633,struct+input
Ar,293,0.15,random_struct__rf_TRAIN_RATIO0.15,0.01,0.9003742089365627,0.0115185197897714,0.0235989704293823,0.0005742735939265,struct+input
Ar,293,0.2,qt_then_rd__cat_TRAIN_RATIO0.2,0.01,0.9762164342422744,0.0039853466245951,0.0185230917706146,0.0002393168438025,struct+input
Ar,293,0.2,qt_then_rd__gbm_TRAIN_RATIO0.2,0.01,0.9761281761005768,0.0046805011326232,0.0150157806704245,0.0001200766092888,struct+input
Ar,293,0.2,qt_then_rd__rf_TRAIN_RATIO0.2,0.01,0.974913006281134,0.003446291161361,0.0149077354183382,0.0001356811759637,struct+input
Ar,293,0.2,random_struct__cat_TRAIN_RATIO0.2,0.01,0.9011054179422744,0.0106640878741403,0.0231853014186018,0.0004681630632461,struct+input
Ar,293,0.2,random_struct__gbm_TRAIN_RATIO0.2,0.01,0.9010844048294494,0.0077182591186539,0.0230878697191268,0.0006902426159478,struct+input
Ar,293,0.2,random_struct__rf_TRAIN_RATIO0.2,0.01,0.9061770296603544,0.0110096837371031,0.0229612996453035,0.0009058661492784,struct+input
Ar,293,0.25,qt_then_rd__cat_TRAIN_RATIO0.25,0.01,0.9800099750995418,0.0016066039579989,0.0168479258554404,0.0002796816986863,struct+input
Ar,293,0.25,qt_then_rd__gbm_TRAIN_RATIO0.25,0.01,0.9801526956137764,0.0021153018810834,0.0140760325022968,0.0002195622510281,struct+input
Ar,293,0.25,qt_then_rd__rf_TRAIN_RATIO0.25,0.01,0.980490116207789,0.002643854860683,0.0136964421940882,0.0001610529999638,struct+input
Ar,293,0.25,random_struct__cat_TRAIN_RATIO0.25,0.01,0.9079180113333344,0.0107743705389111,0.0225575817204545,0.00070414237117,struct+input
Ar,293,0.25,random_struct__gbm_TRAIN_RATIO0.25,0.01,0.9202772814472816,0.0091367453008122,0.0217946034067237,0.0006999733020804,struct+input
Ar,293,0.25,random_struct__rf_TRAIN_RATIO0.25,0.01,0.9108393669039964,0.0141134248536421,0.0224722962825439,0.001167288905077,struct+input
Ar,293,0.3,qt_then_rd__cat_TRAIN_RATIO0.3,0.01,0.982318246809734,0.0013351367272969,0.0159019756397265,0.000278052886064,struct+input
Ar,293,0.3,qt_then_rd__gbm_TRAIN_RATIO0.3,0.01,0.9827659259456564,0.0029164246073184,0.0135513506832061,0.0002722477963243,struct+input
Ar,293,0.3,qt_then_rd__rf_TRAIN_RATIO0.3,0.01,0.9823919715200204,0.0029864218490201,0.013274280226181,0.0001322959074496,struct+input
Ar,293,0.3,random_struct__cat_TRAIN_RATIO0.3,0.01,0.9084908845022588,0.0116534945371167,0.0223057623929696,0.0007665182638107,struct+input
Ar,293,0.3,random_struct__gbm_TRAIN_RATIO0.3,0.01,0.923732536928114,0.0116398556880391,0.021376540018593,0.0009882569519319,struct+input
Ar,293,0.3,random_struct__rf_TRAIN_RATIO0.3,0.01,0.91386342738025,0.0150820936163196,0.021966607241028,0.0012720827730553,struct+input
