folder,mean,std,count,GAS,TEMP,SAMPLING,MODEL,TRAIN_RATIO,QT_FRAC,LOW,HIGH
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.5_QTFRAC_0.5,0.9347790327125904,0.0289977151977094,5,He,273,random_struct,gbm,RATIO0.5,0.5,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.65_QTFRAC_0.65,0.9744639075431252,0.0243304117835887,5,He,273,random_struct,gbm,RATIO0.65,0.65,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.6_QTFRAC_0.6,0.959397012181712,0.0361253022311546,5,He,273,random_struct,gbm,RATIO0.6,0.6,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.75_QTFRAC_0.75,0.9659558903488148,0.0321940053848899,5,He,273,random_struct,gbm,RATIO0.75,0.75,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.7_QTFRAC_0.7,0.9703432856211548,0.0289612329009744,5,He,273,random_struct,gbm,RATIO0.7,0.7,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__gbm_TRAIN_RATIO0.8_QTFRAC_0.8,0.9576121589653808,0.0402422216331124,5,He,273,random_struct,gbm,RATIO0.8,0.8,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__rf_TRAIN_RATIO0.05_QTFRAC_0.05,0.90864172734905,0.018763068975414,5,He,273,random_struct,rf,RATIO0.05,0.05,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__rf_TRAIN_RATIO0.15_QTFRAC_0.15,0.922120089591016,0.0193262271856598,5,He,273,random_struct,rf,RATIO0.15,0.15,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__rf_TRAIN_RATIO0.1_QTFRAC_0.1,0.9178561959751568,0.015492628792746,5,He,273,random_struct,rf,RATIO0.1,0.1,0.01,1
./try09\He_273_0.01_to_1__struct+input__random_struct__rf_TRAIN_RATIO0.25_QTFRAC_0.25,0.9283106272019844,0.0132221866260487,5,He,273,random_struct,rf,RATIO0.25,0.25,0.01,1
