---- START at 2025-03-26 22:58:37, Target=6012/6012 ----
[1/6012] __pycache__ FAILED: Command '/home/ys/Research/PSID_server_room/simulations/[02]RASPA/bin/simulate simulation.input' died with <Signals.SIGSEGV: 11>.
[147/6012] HOJJUN_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=72.4s, Completed=136/6012, ETA=2025-03-27 03:37:54
[144/6012] ISIYUF02_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=82.2s, Completed=137/6012, ETA=2025-03-27 03:39:51
[145/6012] QUSSII_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=81.4s, Completed=138/6012, ETA=2025-03-27 03:37:54
[149/6012] ROQDIM01_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=68.7s, Completed=139/6012, ETA=2025-03-27 03:37:09
[134/6012] FIPXAF_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=111.5s, Completed=140/6012, ETA=2025-03-27 03:36:57
[141/6012] LIQDAS_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=100.2s, Completed=141/6012, ETA=2025-03-27 03:36:09
[153/6012] YUKXEJ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=60.0s, Completed=142/6012, ETA=2025-03-27 03:34:22
[159/6012] AXIPEE_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=40.1s, Completed=143/6012, ETA=2025-03-27 03:34:30
[79/6012] KEYFUR_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=256.3s, Completed=144/6012, ETA=2025-03-27 03:34:36
[138/6012] FUSQUH_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=117.9s, Completed=145/6012, ETA=2025-03-27 03:37:59
[143/6012] VIWQUP_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=108.0s, Completed=146/6012, ETA=2025-03-27 03:36:49
[155/6012] SOJKOT01_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=64.5s, Completed=147/6012, ETA=2025-03-27 03:36:21
[157/6012] JAVTEG_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=62.4s, Completed=148/6012, ETA=2025-03-27 03:35:29
[150/6012] ISUGOT_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=90.3s, Completed=149/6012, ETA=2025-03-27 03:36:55
[158/6012] YOYREL_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=66.1s, Completed=150/6012, ETA=2025-03-27 03:35:43
[160/6012] XALCUJ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=66.3s, Completed=151/6012, ETA=2025-03-27 03:38:55
[148/6012] COKPID_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=116.8s, Completed=152/6012, ETA=2025-03-27 03:38:07
[180/6012] YARYUL_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=26.0s, Completed=153/6012, ETA=2025-03-27 03:41:07
[161/6012] QINSUD01_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=72.3s, Completed=154/6012, ETA=2025-03-27 03:42:26
[170/6012] FUTZIF_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=60.9s, Completed=155/6012, ETA=2025-03-27 03:43:01
[164/6012] FOPBAP_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=70.2s, Completed=156/6012, ETA=2025-03-27 03:41:28
[151/6012] j.inoche.2015.03.026_2_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=113.4s, Completed=157/6012, ETA=2025-03-27 03:40:32
[172/6012] FOFTIF_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=59.2s, Completed=158/6012, ETA=2025-03-27 03:40:04
[168/6012] KEXKAB_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=68.8s, Completed=159/6012, ETA=2025-03-27 03:39:58
[176/6012] EZABEN_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=57.2s, Completed=160/6012, ETA=2025-03-27 03:39:08
[135/6012] SAXFII_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=170.4s, Completed=161/6012, ETA=2025-03-27 03:37:33
[174/6012] ZOYKEF_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=62.2s, Completed=162/6012, ETA=2025-03-27 03:37:37
