,name,0.01 bar,0.05 bar,0.1 bar,0.2 bar,0.35 bar,0.5 bar,1.0 bar,5.0 bar,15.0 bar,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,DISORDER,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE
9277,PURRIE_clean,2.99072e-05,0.0001249968,0.0002691648,0.0005812734,0.0009923057,0.0014110066,0.0027253899,0.0137872213,0.0412673413,PURRIE_clean,4.99199,2.94614,4.97757,1.35446,0.0,0.0,208.739,154.113,0.3844,0.283804,0.0,Zn,Yes,Zn,clean,Y,Y,Y,N,,,,,,,,
9278,PUSJUK_clean,3.00817e-05,0.0001550364,0.0002580083,0.0005808079,0.0009741838,0.0013652457,0.0028114806,0.0131468536,0.0398559195,PUSJUK_clean,3.66116,2.91148,3.66116,1.58567,0.0,0.0,12.7151,8.01871,0.396,0.249736,0.0,"Ni,Cr",Yes,Cr,clean,Y,Y,Y,N,,,,,,,,
9279,PUSRUR_clean,4.8624e-05,0.000227317,0.0004461249,0.0008387634,0.0014660125,0.0020567936,0.0041306057,0.0208049783,0.06190803,PUSRUR_clean,5.04529,3.12069,5.04149,2.23299,0.0,0.0,552.213,247.297,0.4624,0.207077,0.0,Ag,Yes,Ag,clean,N,Y,Y,N,,,,,,,,
9280,PUSSEC_clean,6.03621e-05,0.0002615691,0.00051948,0.0010554223,0.0018456172,0.0026669077,0.0051454125,0.0266297506,0.0775744564,PUSSEC_clean,6.42822,3.88531,6.41292,2.06161,780.57,378.621,69.1973,33.5646,0.4744,0.230111,0.0,Ag,Yes,Ag,clean,N,Y,Y,N,,,,,,,,
9281,PUVJOG_clean,0.0001670158,0.0008369145,0.0015159899,0.0034522723,0.0058088473,0.0083030727,0.0163693868,0.080899899,0.2444928231,PUVJOG_clean,5.99071,5.7142,5.99071,1.16612,1343.68,1152.27,0.0,0.0,0.5688,0.487772,0.0,V,No, ,clean,Y,Y,Y,N,,,,,,,,
9282,PUVREF_clean,4.41388e-05,0.0002159224,0.0004437743,0.0008422168,0.0014148287,0.0022486949,0.0043184485,0.0216495039,0.0637018877,PUVREF_clean,3.59577,2.71579,3.58743,1.61482,0.0,0.0,46.2779,28.6583,0.5034,0.311738,0.0,"Ba,Fe",No, ,clean,N,Y,Y,N,,,,,,,,
9283,PUWCOZ_clean,9.70501e-05,0.0004195067,0.0009517167,0.0019942221,0.0033106592,0.0047977165,0.0094952523,0.0479990796,0.1427246309,PUWCOZ_clean,4.22554,3.14505,4.18276,1.36589,0.0,0.0,639.964,468.533,0.5142,0.376458,0.0,Ni,Yes,Ni,clean,Y,Y,Y,N,,,,,,,,
9284,PUWVAG_clean,0.0001294529,0.0005577491,0.0011058581,0.0022268649,0.0039276553,0.0056215599,0.0112830575,0.0562348797,0.1672214397,PUWVAG_clean,4.80954,3.64569,4.72725,1.26832,891.081,702.566,0.0,0.0,0.4874,0.384287,0.0,Zn,Yes,Zn,clean,N,Y,Y,N,,,,,,,,
9285,PUYHOI_clean,7.95652e-05,0.0004156877,0.0008037711,0.0018137623,0.0029958741,0.0044264243,0.008805759,0.0430496557,0.1281438472,PUYHOI_clean,8.13748,6.87673,8.13748,1.50852,1009.54,669.222,0.0,0.0,0.5634,0.373478,0.0,"Gd,Ni",Yes,Ni,clean,Y,Y,Y,N,,,,,,,,
9286,PUZKOM_clean,0.0001049073,0.0005658637,0.0011571596,0.0021712637,0.0039085925,0.0054758443,0.011229852,0.0563400005,0.1664465931,PUZKOM_clean,5.73239,3.68789,5.71092,1.28608,1004.7,781.21,0.0,0.0,0.5098,0.396397,0.0,Zn,Yes,Zn,clean,Y,Y,Y,N,,,,,,,,
9287,PUZLUS_clean,0.0007184686,0.0035430361,0.0070895942,0.0142742798,0.0252309253,0.0357262013,0.0720951503,0.3556683514,1.0129350123,PUZLUS_clean,15.09144,8.39804,15.08737,0.46153,2323.48,5034.3,0.0,0.0,0.8014,1.7364,0.0,Co,No, ,clean,Y,Y,Y,N,,,,,,,,
9288,PUZMAZ_manual,0.0007871457,0.0035447971,0.0073607808,0.0146018169,0.0256623586,0.0368003823,0.0739441502,0.3683119893,1.0560730621,PUZMAZ_manual,16.4214,9.23775,16.40927,0.447552,2179.79,4870.46,0.0,0.0,0.7972,1.78124,0.0,Co,No, ,manual,Y,Y,Y,N,,,,,,,,
9289,PYDCUT_clean,9.06449e-05,0.0005500147,0.0011261474,0.0021954497,0.0037994031,0.005561601,0.0111815833,0.054632743,0.1641379003,PYDCUT_clean,5.31645,4.73242,5.31645,1.56466,1273.49,813.911,0.0,0.0,0.5466,0.349342,0.0,Cu,No, ,clean,Y,Y,Y,N,,,,,,,,
9290,QADWOK_clean,5.10806e-05,0.0003431976,0.0006528737,0.0013903495,0.0025268925,0.0035054048,0.0070124059,0.0345815529,0.1022425704,QADWOK_clean,4.58729,3.99418,4.55638,1.86546,733.177,393.026,0.0,0.0,0.4474,0.239833,0.0,Tb,No, ,clean,Y,Y,Y,N,,,,,,,,
9291,QADWUQ_clean,8.39128e-05,0.0003214019,0.0006998013,0.0013948527,0.0024176392,0.0034198432,0.006654445,0.0334717157,0.0993147808,QADWUQ_clean,4.54229,3.95239,4.49763,1.89145,716.655,378.892,0.0,0.0,0.4464,0.236009,0.0,Dy,No, ,clean,Y,Y,Y,N,,,,,,,,
9292,QAFWOM_clean,0.000186454,0.0008462142,0.0017019901,0.0035378446,0.0060071645,0.0086318627,0.0169195026,0.0851736079,0.256883372,QAFWOM_clean,4.80275,3.64328,4.69557,0.978105,1575.41,1610.68,0.0,0.0,0.6208,0.634697,0.0,Cu,Yes,Cu,clean,N,Y,Y,N,,,,,,,,
9293,QAGDIO_clean,0.0003834981,0.0020264626,0.0041367499,0.0082420655,0.0143591743,0.0206104027,0.0404873392,0.2042892222,0.6035337843,QAGDIO_clean,12.81046,10.08472,12.79582,0.728225,1959.77,2691.16,0.0,0.0,0.7164,0.983763,0.0,Cu,Yes,Cu,clean,Y,Y,Y,N,,,,,,,,
9294,QAGTOH_clean,0.0001216931,0.0005062432,0.0009410931,0.0019519568,0.0034852895,0.0052133311,0.0100226412,0.0501310543,0.1482773261,QAGTOH_clean,4.99286,4.09874,4.71178,1.12214,865.652,771.429,0.0,0.0,0.4996,0.44522,0.0,Cu,No, ,clean,Y,Y,Y,N,,,,,,,,
9295,QAHMUJ_clean,4.86599e-05,0.0002350367,0.0005554578,0.0010181864,0.0018894748,0.002578977,0.0051524453,0.0256942863,0.0751382975,QAHMUJ_clean,3.54119,3.22591,3.52141,2.39047,0.0,0.0,279.023,116.723,0.4056,0.169674,0.0,"Cd,Ba",Yes,Ba,clean,N,Y,Y,N,,,,,,,,
9296,QAJJOB01_clean,0.0001045046,0.0005502324,0.0010323785,0.0019847952,0.0034763605,0.0049061731,0.0099326847,0.0488756809,0.1428347933,QAJJOB01_clean,5.38986,2.70044,5.35071,2.55901,0.0,0.0,869.841,339.913,0.4802,0.187651,0.0,In,Yes,In,clean,Y,Y,Y,N,,,,,,,,
