---- START at 2025-03-26 22:58:33, Target=6013/6013 ----
[1/6013] __pycache__ FAILED: Command '/home/ys/Research/PSID_server_room/simulations/[02]RASPA/bin/simulate simulation.input' died with <Signals.SIGSEGV: 11>.
[91/6013] VAMQIM_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=118.9s, Completed=99/6013, ETA=2025-03-27 03:34:21
[95/6013] PESTUD_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=105.2s, Completed=100/6013, ETA=2025-03-27 03:32:48
[100/6013] TAJVIM_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=96.1s, Completed=101/6013, ETA=2025-03-27 03:31:05
[94/6013] FAJYAS_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=109.9s, Completed=102/6013, ETA=2025-03-27 03:31:18
[108/6013] GOYXUP_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=82.9s, Completed=103/6013, ETA=2025-03-27 03:32:58
[109/6013] NARTUX_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=83.4s, Completed=104/6013, ETA=2025-03-27 03:32:25
[111/6013] TIQGEG_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=72.7s, Completed=105/6013, ETA=2025-03-27 03:31:16
[88/6013] HUZXOR_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=145.7s, Completed=106/6013, ETA=2025-03-27 03:36:12
[119/6013] MUVHAN_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=58.1s, Completed=107/6013, ETA=2025-03-27 03:37:59
[128/6013] UJIPEK_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=50.9s, Completed=108/6013, ETA=2025-03-27 03:42:41
[106/6013] AWAGEL_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=116.7s, Completed=109/6013, ETA=2025-03-27 03:40:40
[118/6013] QULMIU_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=67.9s, Completed=110/6013, ETA=2025-03-27 03:38:51
[114/6013] YUYLIP_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=87.9s, Completed=111/6013, ETA=2025-03-27 03:37:17
[125/6013] TEBFUD_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=65.1s, Completed=112/6013, ETA=2025-03-27 03:35:56
[120/6013] ILUFOL_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=74.2s, Completed=113/6013, ETA=2025-03-27 03:37:37
[102/6013] XOKHAH_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=126.5s, Completed=114/6013, ETA=2025-03-27 03:35:16
[134/6013] EGEJIK_manual_helium_293.0K_0.05bar_14.0 Done. TimeForThis=44.1s, Completed=115/6013, ETA=2025-03-27 03:35:26
[136/6013] cm503311x_alf450K_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=49.9s, Completed=116/6013, ETA=2025-03-27 03:41:30
