GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD,MAPE_MEAN,MAPE_STD
Ar,273,0.5,15,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.7487052147223331,0.01883128153698225,0.6219096618568779,0.024047556494109983,19.97845106559181,0.7530890482786694
Ar,273,0.5,15,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.7294466905294312,0.017086995021405545,0.6403554059391904,0.022424699039083375,20.358206941652643,0.652721866835017
Ar,273,0.5,15,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.7498821648152786,0.020603758045855004,0.5933429369542796,0.024304544528720294,19.066119436669634,0.7203569087872267
Ar,273,0.5,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9952098391384384,0.0004315718673540611,0.01152226420583716,0.00020179279280699766,2.088217664486243,0.02951938135531429
Ar,273,0.5,1,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9955977878974975,0.0006172609983643785,0.01019056668775424,0.00022670729978618498,1.7078695645231818,0.024689418254010293
Ar,273,0.5,1,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.9949418897109208,0.0007241104406087409,0.01056920741921198,0.00027725880055850936,1.7439597278675936,0.035841356161124466
Ar,273,0.5,1,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.985716600880701,0.008427689191608958,0.0164250683203645,0.0009959731660658527,2.649693787911572,0.1695371405115149
Ar,273,0.5,1,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.992884880984146,0.003077274279786475,0.014101744205946721,0.0008194299277689744,1.9296349282299154,0.057905903381842976
Ar,273,0.5,1,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9917002586037563,0.003540659914178819,0.01458822477978174,0.0008773079876155782,1.9137692096268268,0.08547649922246478
Ar,273,0.5,1,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.3922699828404989,0.0332009696503892,0.2120076051528578,0.006754842406129608,53.26237274804622,3.763035425428226
Ar,273,0.5,1,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.2886773758616358,0.0231654155273406,0.2262396671479896,0.00686375523482149,55.950846720816024,2.9929315206383684
Ar,273,0.5,1,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.3685657712297831,0.04449442572084345,0.20412455695225126,0.0090926384717815,51.37163240194941,2.892822013543875
Ar,273,0.5,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.958574445986882,0.003611545483674358,0.10162281289197546,0.0019220128743720909,5.123617484604077,0.09016713884670685
Ar,273,0.5,5,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9563207620440386,0.0036664740235112453,0.10335758439868134,0.0020477511634800355,5.1315174979704405,0.13568098109676566
Ar,273,0.5,5,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.9540096072347775,0.005444825298954881,0.1008255015717654,0.002169895452370097,4.982290276830979,0.21504547131187127
Ar,273,0.5,5,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.9550044097744459,0.00721574317688909,0.11531492642209726,0.005886309743972433,5.920933347823302,0.31457614435145276
Ar,273,0.5,5,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.9512020441739957,0.006607000606345406,0.11890808280475854,0.006419880654630979,5.830979493496471,0.2914211883568117
Ar,273,0.5,5,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9505841597290055,0.0058411811659947535,0.11596832749998827,0.005446500166392929,5.5147868652435434,0.281389501278323
Ar,273,0.5,5,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.5362652394503648,0.029918008438573902,0.46660195103981783,0.01788240315992648,31.425900480394695,1.4833988480522908
Ar,273,0.5,5,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.4820325344905677,0.021857247295297182,0.4860799669965442,0.01763041843437031,32.11065718701449,1.2085865227706332
Ar,273,0.5,5,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.5318279057573673,0.03536594213617623,0.4472147095310469,0.019539976893195858,30.28477580409209,1.1739767554862928
Ar,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9611057029415292,0.000697560970066177,0.17295365539692245,0.0018249461510580888,5.698899487244869,0.07665975451517608
Ar,293,0.01,15,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9576019303797676,0.0013786580208901323,0.18122480836752156,0.0029790126801848395,5.978944557711836,0.07535441285107378
Ar,293,0.01,15,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.9552068288773194,0.0028928336014155593,0.17629763787021965,0.0020614455770857133,5.762502263769909,0.03116373332338044
Ar,293,0.01,15,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.9632853049559913,0.003819589216833628,0.17595272489181418,0.0038801470315181674,6.048263442943115,0.12603382398015933
Ar,293,0.01,15,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.9616860580166854,0.003104662285653769,0.18320073661430075,0.004529410687562595,6.184914006514213,0.12008325121756167
Ar,293,0.01,15,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9578983310333893,0.0035664500364473305,0.18000198583365543,0.0038699931053349785,5.964534176170328,0.1337455929842468
Ar,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.7048120148129527,0.014480294717897777,0.5355381781036758,0.010569648364399836,21.846409734722233,0.4685407326000066
Ar,293,0.01,15,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.6794981492808662,0.014989477554654643,0.5564293515649636,0.011473213884295166,22.47244632720447,0.3974622599623246
Ar,293,0.01,15,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.7013498398678594,0.014993020280830795,0.5130749820175771,0.017127076498607834,20.959137425629677,0.6043992812248822
Ar,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9879389355825751,0.0008894139372873587,0.011241550157624519,0.00023254475483434084,3.163945473153949,0.06570556100576261
Ar,293,0.01,1,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9890504116807171,0.0008154319851548628,0.0103788191966967,0.00018189044627891593,2.7731953721056017,0.037808076424312914
Ar,293,0.01,1,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.9871632485488846,0.0015833414368285725,0.010411387860056858,0.00034792623223961765,2.7382610832013734,0.07343577387291363
Ar,293,0.01,1,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.909724150127213,0.043679999777039624,0.021058418009069824,0.003585431029207143,4.018645966612171,0.19315538972816584
Ar,293,0.01,1,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.9163551723988791,0.03322279997717364,0.019781706292325618,0.002816048876091158,3.3460797363965837,0.24594163175647918
Ar,293,0.01,1,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9194696371453059,0.03915062767207664,0.01981284509947334,0.0033290043554066785,3.2818584611995023,0.2301446441828508
Ar,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.32733159614012763,0.046793691095265044,0.14593500232978568,0.006620067333044342,51.87002152883118,3.2143380920959417
Ar,293,0.01,1,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.24562968968730647,0.06964361939238424,0.15258857339326165,0.0067756767038815915,52.7610246454602,2.567869182443626
Ar,293,0.01,1,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.3353726476740223,0.03904214110018689,0.13915509186321703,0.005348064424088438,49.646933754806255,2.5007122104684174
Ar,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.96720141811329,0.0011455436715534302,0.06641721623975023,0.0007202288654115072,4.592779814437788,0.04682515532444384
Ar,293,0.01,5,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9654158043351785,0.0018566972369858403,0.06780154514435932,0.001012059550339699,4.625272881368453,0.06836660653646331
Ar,293,0.01,5,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.9624726665291238,0.002209840000496311,0.06703719079383882,0.0010567926214515837,4.539982793141875,0.05353221818221416
Ar,293,0.01,5,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.9559305813279885,0.009044326681805345,0.0775162184267476,0.003209171106523346,5.15491299394875,0.17267448082983214
Ar,293,0.01,5,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.9559859770549778,0.0068059136520503835,0.07943436084306743,0.0025948227618071483,5.080818982203086,0.1315089960426868
Ar,293,0.01,5,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9547423204070873,0.009224329249918282,0.07833925609522056,0.003731830676027471,4.8626538235258385,0.11909743388343054
Ar,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.47738964307370485,0.024377034088212426,0.36894403147997706,0.00937150395377438,33.199821333413624,0.973412181697899
Ar,293,0.01,5,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.42446266741385213,0.029630547173551593,0.3841467219561443,0.008731670138188688,34.19729069607795,1.0789220708359242
Ar,293,0.01,5,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.4779045642451276,0.026377716303010536,0.35251010878566824,0.009658977458019906,31.95939524143276,0.6893309932435432
Ar,293,0.05,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9616397279166231,0.0029607959883698833,0.1710261820830945,0.004391004463613939,5.578408412618546,0.19396496520685014
Ar,293,0.05,15,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9583288563440024,0.0030067829056195407,0.17847325466000247,0.0028387328456807195,5.784716543368235,0.14740134133928812
Ar,293,0.05,15,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.9558479551918762,0.0015146825465935053,0.1742657798670403,0.0021936509365265843,5.650959464467189,0.13645167352244564
Ar,293,0.05,15,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.9653793176303684,0.0030616452543282633,0.17053236695484766,0.004611361781654013,5.8442048133580515,0.13175511040337937
Ar,293,0.05,15,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.9623545957246247,0.003581858489572283,0.17885898931171768,0.0051785083556407435,6.02553016593758,0.1480306396288174
Ar,293,0.05,15,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9594183669066897,0.0037236706451812328,0.1744572806072607,0.0049224347080975926,5.780496308017,0.1520525673597041
